統計期,臺鐵旅客人數,臺鐵延人公里,臺鐵客運收入,高鐵旅客人數(千人次),高鐵延人公里,臺北捷運旅客人數,臺北捷運延人公里,臺北捷運客運收入,高雄捷運旅客人數,高雄捷運延人公里,高雄捷運客運收入,桃園機場捷運旅客人數,桃園機場捷運延人公里,桃園機場捷運客運收入,新北捷運旅客人數,新北捷運延人公里,新北捷運客運收入,臺中捷運旅客人數,臺中捷運延人公里,臺中捷運客運收入
103年8月,20170.0,1027071.0,1685271.0,4139.0,794774.0,56509.0,459242.0,1232941.0,5190.0,38236.0,117476.0,,,,,,,,,
103年9月,18630.0,889568.0,1463445.0,3950.0,756008.0,53588.0,441822.0,1175613.0,4697.0,36046.0,109432.0,,,,,,,,,
103年10月,20054.0,943317.0,1519681.0,4156.0,796790.0,57923.0,482072.0,1275028.0,5167.0,40092.0,114181.0,,,,,,,,,
103年11月,19280.0,900153.0,1465687.0,4018.0,763479.0,58232.0,478141.0,1219181.0,5019.0,38574.0,111768.0,,,,,,,,,
103年12月,19685.0,887718.0,1367259.0,4119.0,782683.0,65050.0,531862.0,1368989.0,5388.0,41119.0,93790.0,,,,,,,,,
104年1月,19316.0,894953.0,1457345.0,3956.0,759693.0,59692.0,491155.0,1307066.0,5364.0,40521.0,121603.0,,,,,,,,,
104年2月,18568.0,951991.0,1609548.0,4140.0,829582.0,52533.0,429322.0,1146265.0,5264.0,38579.0,125458.0,,,,,,,,,
104年3月,20091.0,911304.0,1488528.0,4194.0,793788.0,62848.0,519369.0,1381154.0,4947.0,37425.0,116731.0,,,,,,,,,
104年4月,19477.0,934681.0,1545603.0,4175.0,806778.0,58333.0,480973.0,1272535.0,4771.0,35677.0,116634.0,,,,,,,,,
104年5月,19798.0,943775.0,1550332.0,4214.0,808499.0,60762.0,496728.0,1322896.0,4976.0,36873.0,118978.0,,,,,,,,,
104年6月,18719.0,899561.0,1482507.0,4088.0,785888.0,57568.0,471053.0,1251238.0,4773.0,35471.0,114891.0,,,,,,,,,
104年7月,19488.0,982827.0,1619638.0,4212.0,808711.0,59995.0,485325.0,1301390.0,5208.0,37906.0,123695.0,,,,,,,,,
104年8月,18861.0,955505.0,1582345.0,4195.0,805698.0,58896.0,473127.0,1275336.0,5101.0,36732.0,121514.0,,,,,,,,,
104年9月,18543.0,892623.0,1478054.0,4047.0,772490.0,57138.0,468413.0,1248578.0,4760.0,35391.0,114097.0,,,,,,,,,
104年10月,19818.0,932816.0,1510496.0,4241.0,800995.0,62296.0,515026.0,1364448.0,5009.0,37345.0,119860.0,,,,,,,,,
104年11月,19481.0,911046.0,1475028.0,4171.0,786351.0,60909.0,504575.0,1330728.0,4744.0,35699.0,114048.0,,,,,,,,,
104年12月,20057.0,903892.0,1456777.0,4929.0,896487.0,66542.0,545916.0,1450240.0,5286.0,39252.0,126679.0,,,,,,,,,
105年1月,18586.0,875097.0,1424981.0,4604.0,860538.0,62491.0,504716.0,1353556.0,5060.0,36747.0,120552.0,,,,,,,,,
105年2月,18952.0,955439.0,1637918.0,4841.0,890813.0,55881.0,453222.0,1215585.0,5450.0,39557.0,132072.0,,,,,,,,,
105年3月,19136.0,862944.0,1393590.0,4611.0,828071.0,65094.0,532066.0,1421921.0,4821.0,35870.0,114668.0,,,,,,,,,
105年4月,19509.0,948056.0,1578098.0,4654.0,873389.0,59818.0,490655.0,1306260.0,4904.0,36097.0,117282.0,,,,,,,,,
105年5月,19526.0,918850.0,1510234.0,4618.0,859761.0,62641.0,512006.0,1358766.0,5435.0,40404.0,131219.0,,,,,,,,,
105年6月,18564.0,897156.0,1505303.0,4563.0,861842.0,58943.0,477917.0,1288514.0,5357.0,39496.0,129017.0,,,,,,,,,
105年7月,19211.0,968078.0,1595968.0,4738.0,885711.0,60814.0,486756.0,1318141.0,5570.0,40496.0,132657.0,,,,,,,,,
105年8月,19647.0,970069.0,1617446.0,4763.0,886706.0,63103.0,507286.0,1365775.0,5799.0,41953.0,136721.0,,,,,,,,,
105年9月,17490.0,832193.0,1388552.0,4421.0,823881.0,56229.0,456545.0,1219230.0,4676.0,34674.0,115753.0,,,,,,,,,
105年10月,19908.0,930316.0,1530378.0,4924.0,912409.0,62802.0,513996.0,1361171.0,5322.0,38979.0,130824.0,,,,,,,,,
105年11月,19074.0,868242.0,1416638.0,4685.0,862747.0,62796.0,515547.0,1353551.0,5050.0,37657.0,123815.0,,,,,,,,,
105年12月,20762.0,941407.0,1527362.0,5165.0,942471.0,69375.0,565466.0,1523754.0,5656.0,42302.0,139149.0,,,,,,,,,
106年1月,19774.0,945059.0,1563799.0,5175.0,973917.0,60035.0,488803.0,1314569.0,5756.0,43159.0,142603.0,,,,,,,,,
106年2月,18601.0,888405.0,1487823.0,4792.0,871728.0,57308.0,461696.0,1245041.0,5463.0,36976.0,134316.0,,,,,,,,,
106年3月,19836.0,896038.0,1452604.0,4950.0,912742.0,65799.0,535198.0,1429405.0,5391.0,40251.0,130635.0,2001.0,43404.0,98081.0,,,,,,
106年4月,19899.0,947110.0,1563978.0,5095.0,930346.0,61035.0,499067.0,1329579.0,5145.0,38428.0,126271.0,1723.0,35963.0,141222.0,,,,,,
106年5月,19923.0,945948.0,1552638.0,5143.0,951319.0,62331.0,507686.0,1351268.0,5149.0,38622.0,125887.0,1645.0,33459.0,128276.0,,,,,,
106年6月,17794.0,831911.0,1379614.0,4567.0,833910.0,60600.0,488021.0,1303448.0,4834.0,36119.0,117949.0,1575.0,31437.0,123366.0,,,,,,
106年7月,18928.0,944050.0,1563273.0,4979.0,916399.0,60846.0,486099.0,1309674.0,5225.0,38568.0,127962.0,1654.0,32783.0,136067.0,,,,,,
106年8月,19856.0,986278.0,1608256.0,5224.0,964586.0,63339.0,506498.0,1365832.0,5612.0,40897.0,135822.0,1797.0,35896.0,141856.0,,,,,,
106年9月,18401.0,849181.0,1416312.0,4653.0,840002.0,60251.0,487981.0,1308084.0,4752.0,35772.0,115904.0,1571.0,31074.0,123334.0,,,,,,
106年10月,19814.0,954642.0,1579139.0,5374.0,993044.0,61802.0,502026.0,1343942.0,5342.0,40109.0,130669.0,1787.0,35391.0,145486.0,,,,,,
106年11月,19050.0,869024.0,1402971.0,5006.0,912281.0,63034.0,513260.0,1367683.0,5211.0,41009.0,125562.0,1617.0,31797.0,124372.0,,,,,,
106年12月,20930.0,958679.0,1561742.0,5613.0,1003086.0,69687.0,563370.0,1506055.0,6444.0,51473.0,158751.0,1975.0,39158.0,153479.0,,,,,,
107年1月,18743.0,851744.0,1386954.0,4958.0,893378.0,64501.0,520479.0,1395001.0,5705.0,45361.0,140555.0,1792.0,35219.0,141597.0,,,,,,
107年2月,17703.0,875957.0,1479005.0,5154.0,971961.0,54709.0,437641.0,1177667.0,6108.0,49467.0,150278.0,1689.0,33590.0,135544.0,,,,,,
107年3月,19853.0,884205.0,1405978.0,5309.0,949573.0,67359.0,551336.0,1467726.0,5424.0,42994.0,129330.0,1880.0,36597.0,142188.0,,,,,,
107年4月,20170.0,969288.0,1613451.0,5476.0,1005449.0,60665.0,495030.0,1327380.0,5613.0,44792.0,132658.0,1828.0,35797.0,139630.0,,,,,,
107年5月,19632.0,897335.0,1416784.0,5213.0,936039.0,64979.0,528886.0,1392733.0,5258.0,41843.0,125063.0,1813.0,35301.0,134268.0,,,,,,
107年6月,18673.0,891807.0,1461620.0,5186.0,937853.0,61504.0,498036.0,1316407.0,5266.0,41398.0,128320.0,1850.0,36205.0,144110.0,,,,,,
107年7月,18800.0,943155.0,1563959.0,5290.0,955013.0,62958.0,504879.0,1356260.0,5817.0,46097.0,136275.0,1944.0,37819.0,146247.0,,,,,,
