統計期,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣,國道,其他
104年 7月,32812,3497,2348,3348,5250,2362,5935,664,492,618,1854,682,875,627,1391,375,657,150,346,601,329,70,3,189,149
104年 8月,31666,3422,2132,3292,5539,2430,5600,672,155,582,1547,620,849,571,1382,367,535,138,329,745,331,74,0,209,145
104年 9月,32908,3675,2243,3288,5753,1995,5799,651,844,649,1741,625,867,709,1275,371,488,122,369,716,326,96,3,179,124
104年 10月,36257,3951,2651,3819,6464,2229,6288,624,828,700,1847,710,870,678,1712,323,532,98,309,840,327,106,0,187,164
104年 11月,36286,3722,2671,3908,6782,2459,6389,661,709,655,1788,697,990,742,1238,374,504,96,347,736,325,95,2,245,151
104年 12月,39254,4405,2670,3753,7549,2633,6745,733,906,702,2219,744,1093,763,1429,322,564,94,333,800,337,96,0,181,183
105年 1月,35588,3929,2629,3385,6632,2300,5940,665,861,652,2014,748,882,617,1494,403,496,77,285,788,290,82,3,221,195
105年 2月,30528,3055,1949,2910,5242,2106,5452,636,663,624,1592,740,842,563,1585,368,501,76,235,727,281,57,1,191,132
105年 3月,33202,3596,2408,3296,5775,2380,5835,647,817,628,1652,618,821,535,1477,293,488,90,290,777,319,91,1,214,154
105年 4月,32055,3495,2235,3141,5516,2072,5505,634,677,628,1669,654,763,654,1605,331,593,120,278,702,306,74,10,237,156
105年 5月,34071,3662,2317,3295,5842,2102,6015,653,774,638,1891,689,981,699,1625,340,544,165,283,748,339,71,3,240,155
105年 6月,34451,4213,2230,3210,5507,2312,5931,660,898,676,1880,664,1001,654,1599,405,670,186,279,621,330,89,2,265,169
105年 7月,33500,3660,2363,3245,5442,2013,5328,724,973,784,1933,771,975,676,1563,435,670,160,334,636,321,85,4,260,145
105年 8月,31090,3364,2525,3358,3685,2077,5617,830,784,603,1854,718,907,585,1388,411,580,137,316,581,323,78,2,183,184
105年 9月,31158,3250,2220,3067,5187,2084,5513,722,830,602,1716,619,899,654,1306,338,479,116,280,520,330,57,2,210,157
105年 10月,33692,3514,2554,3729,5000,2185,5865,816,865,666,2020,676,1034,598,1470,349,537,102,271,588,343,90,1,263,156
105年 11月,34562,3469,2562,3753,5713,2211,6224,654,946,658,2010,641,948,674,1366,363,566,107,267,564,334,80,2,254,196
105年 12月,38800,4184,3053,3805,6769,2604,6739,753,1079,745,2316,822,1097,708,1292,395,489,78,324,561,359,110,0,273,245
106年 1月,36397,3764,2537,3602,5866,2599,6607,737,927,737,2143,837,922,752,1644,409,584,74,345,434,307,97,0,335,138
106年 2月,29995,3069,2151,3295,4746,2633,5327,616,795,622,1647,589,766,661,1002,298,404,73,277,270,285,59,0,219,191
106年 3月,32910,3467,2591,3367,5947,2383,6248,658,894,646,1965,589,889,627,184,340,520,97,296,348,310,74,1,245,224
106年 4月,29660,3032,2007,3238,4913,1775,5608,667,838,671,1864,665,887,698,566,354,467,91,297,275,280,76,2,228,161
106年 5月,33358,3596,2385,3182,5318,1619,6279,640,930,691,1845,653,960,653,1816,388,581,143,264,590,347,86,4,233,155
106年 6月,32387,3251,2126,3080,5402,1760,6138,675,855,669,1792,657,937,661,1576,349,597,120,275,532,326,79,4,322,204
106年 7月,34840,3870,2311,3489,5333,2778,5963,915,879,678,1851,775,976,662,1569,430,600,146,224,575,324,81,1,253,157
106年 8月,33325,3861,2431,3428,3843,2901,5391,849,890,753,1863,754,1017,710,1658,405,647,143,265,731,326,72,0,217,170
106年 9月,31410,3421,2288,3322,4955,1657,4722,828,1002,587,1898,674,1045,667,1571,401,520,105,264,687,335,70,1,225,165
106年 10月,31735,3529,2272,3392,4718,1729,4524,699,1017,755,1889,780,1080,758,1737,364,538,109,249,776,344,91,0,197,188
106年 11月,33101,3811,2369,3543,5266,2199,4721,790,951,709,1624,737,1090,763,1686,337,589,73,259,785,331,79,4,214,171
106年 12月,33928,4294,2596,3237,5585,994,4954,765,1151,790,1954,730,1125,747,1847,377,572,87,299,866,361,108,0,270,219
107年 1月,37109,4067,2392,3737,5378,4407,5208,915,1102,732,1891,739,1080,738,1633,386,534,105,341,878,306,79,2,239,220
107年 2月,30208,3116,1701,2792,4284,3869,4254,748,959,618,1491,650,879,703,1540,345,442,65,322,685,288,67,0,233,157
107年 3月,36374,3894,2405,3694,5539,4612,4870,801,1062,750,1581,637,1005,788,1781,358,550,91,410,739,307,71,4,204,221
107年 4月,32789,3042,2079,3520,4615,4241,4433,811,933,647,1558,710,1041,785,1639,349,503,95,347,699,287,77,0,221,157
107年 5月,36741,4003,2386,3291,4949,4679,5348,871,1100,786,1676,668,1148,824,1774,358,618,167,406,841,346,112,5,215,170
107年 6月,34670,3889,2266,3182,4278,4269,5279,856,995,689,1997,756,1017,664,1478,326,580,147,379,758,326,86,3,292,158
107年 7月,34671,3758,2188,3567,3985,4325,5228,918,1064,716,1595,724,1027,687,1608,421,679,150,362,824,326,68,1,278,172
107年 8月,33791,3718,2267,3357,4001,4227,4893,864,1020,670,1567,702,1009,685,1565,349,680,135,403,802,328,74,1,278,196
107年 9月,34118,3595,2302,3198,4107,4482,5096,767,1034,659,1664,738,1034,781,1571,349,575,101,421,826,332,88,1,231,166
107年 10月,37043,4071,2532,3164,4617,4775,5906,854,1181,451,1800,790,1052,827,1729,352,566,92,407,1018,344,90,0,236,189
107年 11月,37714,4218,2510,3494,5212,4661,5689,900,1082,424,1794,789,1073,812,1729,413,537,102,460,942,328,93,3,248,201
107年 12月,41571,4946,2688,3517,5873,5377,6598,906,1167,550,1743,755,1160,831,1982,418,629,75,454,957,373,77,0,264,231
108年 1月,42227,4388,2638,4904,5553,5305,6348,866,1126,744,2096,798,1063,867,2010,406,605,93,439,1073,310,100,3,259,233
108年 2月,33370,3139,1880,3619,4252,4314,4946,808,917,593,1529,738,1023,721,1947,411,547,85,377,774,287,62,0,253,148
108年 3月,36747,3929,2313,4207,4852,4675,5247,878,928,635,1576,656,964,697,1934,376,575,89,418,930,307,93,4,275,189
108年 4月,36931,3877,2312,4402,4758,4590,4996,816,927,694,1860,726,1066,776,1867,457,579,105,432,927,284,90,9,221,160
108年 5月,36850,4130,2417,4552,4864,4372,4469,803,980,662,2044,698,1019,728,1750,360,547,122,458,936,345,104,10,303,177
108年 6月,36949,4261,2215,4322,4330,4637,4390,783,1027,625,2384,739,1024,777,1938,369,610,118,474,950,326,89,3,357,201
108年 7月,37920,4171,2496,4760,4294,4538,4244,1060,1058,710,2540,776,1041,766,1778,494,698,164,497,957,325,78,4,244,227
108年 8月,34898,3814,2335,4646,3848,3840,4013,961,994,701,2203,701,997,669,1605,391,591,111,537,937,329,96,10,377,192
108年 9月,35302,3880,2410,4546,3746,3967,4214,848,1060,718,2314,691,1084,737,1755,357,545,92,491,926,335,106,3,286,191
108年 10月,39021,4152,2638,5057,4341,4093,5058,952,1232,741,2418,841,1097,800,1965,381,619,114,505,1049,339,114,8,284,223
108年 11月,41974,4440,2872,5231,5695,3913,5529,892,1260,886,2641,860,1237,859,1984,371,601,128,479,1108,329,135,2,309,213
108年 12月,43211,4669,2941,5336,5587,4078,6085,984,1251,789,2650,880,1193,904,2115,371,668,87,520,1037,385,117,7,310,247
109年 1月,41911,4296,2758,5088,5419,4054,5697,1022,1132,820,2565,972,1122,964,2197,459,781,100,462,1071,313,109,1,315,194
109年 2月,35653,4355,2429,4722,4500,3366,4468,818,1118,738,1938,743,937,693,1740,353,533,66,415,920,305,63,2,211,220
109年 3月,37912,4836,2652,4992,4487,3654,4569,939,1095,718,2141,744,1026,738,1850,353,727,99,495,977,300,100,2,221,197
109年 4月,36307,4376,2562,4673,4249,3534,4529,874,1079,650,2128,758,1065,756,1955,333,574,72,460,873,287,74,1,203,242
109年 5月,38747,4446,2573,5174,4791,3802,4812,913,1087,679,2284,743,1090,829,1955,337,654,118,501,944,350,80,3,369,213
109年 6月,40807,4990,2694,5222,4436,3812,5090,1001,1253,733,2523,869,1256,897,2184,454,780,137,508,1012,325,119,1,298,213
109年 7月,41116,4565,2881,5617,4296,3928,4834,1128,1203,653,2715,853,1213,908,2084,526,851,236,535,1081,327,100,8,324,250
109年 8月,39015,4732,2740,5156,4313,3791,4371,1094,1184,598,2443,884,1181,765,1790,468,798,180,470,1021,331,91,18,381,215
109年 9月,38018,4722,2781,5328,4190,4011,4046,911,1117,561,2374,774,1104,832,1649,368,657,150,448,1037,328,85,9,345,191
109年 10月,41181,4749,3030,5747,4407,4589,4584,952,1238,697,2657,945,1143,899,1665,411,718,126,431,1091,342,131,5,395,229
109年 11月,44474,5388,3342,5978,5370,4970,4760,1013,1294,876,2819,920,1227,875,1769,329,706,97,472,1134,331,160,4,393,247
109年 12月,47192,5561,3336,6100,5171,5746,5958,960,1337,800,2900,937,1320,974,1919,362,748,100,483,1229,389,107,2,443,310
110年 1月,47539,6066,3332,6117,5391,5328,5787,1015,1597,880,2814,930,1276,894,2100,406,678,89,521,1251,313,104,4,377,269
110年 2月,38778,4459,2692,4532,4223,4596,4255,961,1196,810,2639,908,1107,913,1996,355,715,89,448,953,295,94,5,334,203
110年 3月,40946,5353,3005,5297,4794,4706,4309,912,1192,686,2564,808,1155,898,1812,390,605,82,427,1019,305,105,2,287,233
110年 4月,40880,5106,2948,5458,4729,4624,4207,904,1190,730,2551,877,1183,869,1889,372,664,135,453,1027,287,102,4,353,218
110年 5月,37364,4293,2169,4376,4959,4611,4689,740,1015,677,2221,769,1027,818,1685,355,636,155,368,882,348,78,8,261,224
110年 6月,27890,3308,1551,3623,3901,2968,3917,588,724,439,1599,504,746,495,1106,234,376,44,295,637,325,81,7,227,195
110年 7月,32360,3893,1903,4008,4398,3591,4178,719,952,568,1990,599,830,616,1231,323,464,68,408,742,332,66,3,274,204
110年 8月,35820,4466,2368,4530,4131,4087,4628,781,1053,677,2144,638,919,633,1406,328,599,71,439,910,333,75,1,401,202
110年 9月,38558,4789,2635,5049,4438,4309,4236,942,1196,814,2339,824,1103,787,1647,349,616,76,469,941,332,97,8,323,239
110年 10月,42728,5537,3166,5542,4854,5039,4340,867,1251,887,2531,911,1165,940,1904,400,746,107,415,1080,341,144,10,338,213
110年 11月,44412,5634,3055,5620,5245,5343,4816,1013,1258,913,2734,782,1188,900,2062,376,764,116,461,1000,334,125,3,416,254
