統計期,機動車輛數(輛) - 總計,機動車輛數(輛) - 汽車(不含軍車),機動車輛數(輛) - 機車,肇事總件數(件),肇事率(件/萬輛),A1類發生件數(件),A1類死亡人數(人),A1類受傷人數(人),A2類發生件數(件),A2類受傷人數(人),統計期_y,總計,大客車,大貨車,小客車,小客車-自用,小貨車,特種車,機車,機車-重型,機車-輕型
99年8月,21560138.0,6828072.0,14732066.0,18940.0,8.79,174.0,176.0,61.0,18766.0,25421.0,99年8月,21560138,28410,159890,5762226,5603608,826622,50924,14732066,10957887,3774179
99年9月,21625041.0,6838385.0,14786656.0,18567.0,8.6,180.0,182.0,73.0,18387.0,24750.0,99年9月,21625041,28560,160126,5770642,5611466,828180,50877,14786656,11022229,3764427
99年10月,21663488.0,6851145.0,14812343.0,18978.0,8.77,173.0,174.0,64.0,18805.0,25395.0,99年10月,21663488,28804,160459,5780476,5621140,830669,50737,14812343,11057817,3754526
99年11月,21699848.0,6866650.0,14833198.0,19256.0,8.88,155.0,165.0,81.0,19101.0,25783.0,99年11月,21699848,28969,160793,5794558,5634352,831749,50581,14833198,11089568,3743630
99年12月,21721447.0,6876515.0,14844932.0,20471.0,9.43,188.0,195.0,77.0,20283.0,27541.0,99年12月,21721447,29030,161084,5803413,5642969,832466,50522,14844932,11112224,3732708
100年1月,21771805.0,6910806.0,14860999.0,20306.0,9.34,179.0,183.0,63.0,20127.0,26304.0,100年1月,21771805,29058,161350,5835808,5672582,834611,49979,14860999,11136536,3724463
100年2月,21796838.0,6915550.0,14881288.0,16180.0,7.43,140.0,145.0,59.0,16040.0,21509.0,100年2月,21796838,29080,161503,5839984,5676633,835426,49557,14881288,11164267,3717021
100年3月,21844934.0,6929339.0,14915595.0,18992.0,8.7,157.0,164.0,60.0,18835.0,25166.0,100年3月,21844934,29202,161835,5851587,5687156,837211,49504,14915595,11209998,3705597
100年4月,21874617.0,6939723.0,14934894.0,18722.0,8.56,175.0,187.0,89.0,18547.0,25095.0,100年4月,21874617,29301,162178,5859628,5694203,839061,49555,14934894,11239790,3695104
100年5月,21909693.0,6946885.0,14962808.0,19549.0,8.93,152.0,156.0,61.0,19397.0,26158.0,100年5月,21909693,29371,162465,5864421,5698376,840929,49699,14962808,11279060,3683748
100年6月,21962344.0,6963371.0,14998973.0,20084.0,9.16,160.0,164.0,91.0,19924.0,27077.0,100年6月,21962344,29375,162842,5879005,5711623,842296,49853,14998973,11325907,3673066
100年7月,22030389.0,6985581.0,15044808.0,20219.0,9.19,159.0,166.0,67.0,20060.0,27020.0,100年7月,22030389,29349,163201,5899701,5730627,843292,50038,15044808,11382834,3661974
100年8月,22068440.0,6991046.0,15077394.0,19662.0,8.92,173.0,176.0,67.0,19489.0,26358.0,100年8月,22068440,29421,163257,5904337,5735161,844004,50027,15077394,11427063,3650331
100年9月,22142021.0,7007601.0,15134420.0,19463.0,8.8,176.0,185.0,88.0,19287.0,26245.0,100年9月,22142021,29663,163487,5918810,5748739,845458,50183,15134420,11495587,3638833
100年10月,22176566.0,7021024.0,15155542.0,20167.0,9.1,172.0,178.0,73.0,19995.0,27267.0,100年10月,22176566,29792,163656,5931052,5760212,846290,50234,15155542,11530795,3624747
100年11月,22205436.0,7037415.0,15168021.0,20549.0,9.26,208.0,219.0,80.0,20341.0,27310.0,100年11月,22205436,29919,163965,5946034,5774273,847491,50006,15168021,11556703,3611318
100年12月,22226684.0,7053082.0,15173602.0,21883.0,9.85,186.0,194.0,60.0,21697.0,28834.0,100年12月,22226684,29991,164221,5960088,5787010,848732,50050,15173602,11572658,3600944
101年1月,22264616.0,7076839.0,15187777.0,21104.0,9.49,175.0,181.0,102.0,20929.0,27979.0,101年1月,22264616,30083,164238,5982471,5806984,850045,50002,15187777,11595196,3592581
101年2月,22290937.0,7080253.0,15210684.0,19218.0,8.63,160.0,166.0,76.0,19058.0,25258.0,101年2月,22290937,30120,164318,5985047,5809747,850878,49890,15210684,11629411,3581273
101年3月,22172862.0,7091755.0,15081107.0,21416.0,9.63,173.0,177.0,77.0,21243.0,28501.0,101年3月,22172862,30232,164517,5994728,5818428,852417,49861,15081107,11567628,3513479
101年4月,22153548.0,7095003.0,15058545.0,20072.0,9.06,142.0,144.0,54.0,19930.0,26834.0,101年4月,22153548,30245,164626,5997098,5819897,853194,49840,15058545,11571450,3487095
101年5月,22101725.0,7108184.0,14993541.0,20299.0,9.17,162.0,166.0,89.0,20137.0,27096.0,101年5月,22101725,30363,164906,6008298,5829761,854594,50023,14993541,11564600,3428941
101年6月,22142519.0,7124006.0,15018513.0,19037.0,8.61,157.0,164.0,53.0,18880.0,25246.0,101年6月,22142519,30483,165154,6022000,5842124,856184,50185,15018513,11601431,3417082
101年7月,22187830.0,7142166.0,15045664.0,21050.0,9.5,151.0,156.0,51.0,20899.0,28175.0,101年7月,22187830,30601,165177,6038637,5857797,857475,50276,15045664,11643397,3402267
101年8月,22225576.0,7152510.0,15073066.0,19110.0,8.61,174.0,181.0,60.0,18936.0,25347.0,101年8月,22225576,30595,165360,6047211,5866335,859058,50286,15073066,11685584,3387482
101年9月,22270837.0,7161666.0,15109171.0,20378.0,9.16,164.0,169.0,67.0,20214.0,27614.0,101年9月,22270837,30761,160732,6051343,5870431,858078,60752,15109171,11742215,3366956
101年10月,22304793.0,7174310.0,15130483.0,22801.0,10.23,165.0,171.0,64.0,22636.0,31106.0,101年10月,22304793,30806,160867,6062368,5881234,859484,60785,15130483,11778387,3352096
101年11月,22333087.0,7189653.0,15143434.0,21670.0,9.71,162.0,169.0,94.0,21508.0,29129.0,101年11月,22333087,30925,161031,6075969,5894618,860882,60846,15143434,11805067,3338367
101年12月,22346398.0,7206770.0,15139628.0,23310.0,10.43,179.0,196.0,75.0,23131.0,30935.0,101年12月,22346398,31098,161256,6091324,5909115,862230,60862,15139628,11820632,3318996
