統計期,機動車輛數(輛) - 總計,機動車輛數(輛) - 汽車(不含軍車),機動車輛數(輛) - 機車,肇事總件數(件),肇事率(件/萬輛),A1類發生件數(件),A1類死亡人數(人),A1類受傷人數(人),A2類發生件數(件),A2類受傷人數(人),統計期_y,總計,大客車,大貨車,小客車,小客車-自用,小貨車,特種車,機車,機車-重型,機車-輕型
108年8月,21998364.0,8080860.0,13917504.0,26661.0,12.12,139.0,143.0,63.0,26522.0,34913.0,108年8月,21998364,33707,165393,6885239,6652939,930916,65605,13917504,12999888,917616
108年9月,22028230.0,8087404.0,13940826.0,26556.0,12.06,138.0,141.0,69.0,26418.0,35302.0,108年9月,22028230,33598,165560,6890785,6658545,931682,65779,13940826,13034972,905854
108年10月,22052896.0,8098010.0,13954886.0,28936.0,13.13,168.0,171.0,59.0,28768.0,39068.0,108年10月,22052896,33522,165598,6900192,6667444,932717,65981,13954886,13059153,895733
108年11月,22084071.0,8110970.0,13973101.0,31078.0,14.08,133.0,135.0,59.0,30945.0,41995.0,108年11月,22084071,33395,165628,6912104,6679003,933718,66125,13973101,13083046,890055
108年12月,22111807.0,8118885.0,13992922.0,32712.0,14.8,182.0,185.0,64.0,32530.0,43241.0,108年12月,22111807,33288,165680,6919256,6685641,934456,66205,13992922,13114701,878221
109年1月,22102720.0,8119056.0,13983664.0,31529.0,14.26,187.0,191.0,89.0,31342.0,41905.0,109年1月,22102720,33221,165533,6920578,6686565,933664,66060,13983664,13113307,870357
109年2月,22128786.0,8127165.0,14001621.0,26921.0,12.17,170.0,171.0,65.0,26751.0,35676.0,109年2月,22128786,33238,165900,6926232,6692748,935653,66142,14001621,13137343,864278
109年3月,22138965.0,8131525.0,14007440.0,28499.0,12.88,148.0,154.0,53.0,28351.0,37927.0,109年3月,22138965,33173,166040,6929413,6696272,936731,66168,14007440,13152068,855372
109年4月,22137026.0,8130496.0,14006530.0,27093.0,12.24,135.0,140.0,54.0,26958.0,36327.0,109年4月,22137026,33067,165947,6927855,6695235,937355,66272,14006530,13159856,846674
109年5月,22153783.0,8140679.0,14013104.0,29378.0,13.27,136.0,138.0,64.0,29242.0,38780.0,109年5月,22153783,32975,166152,6935974,6703801,939112,66466,14013104,13174225,838879
109年6月,22175602.0,8152288.0,14023314.0,30553.0,13.78,168.0,174.0,73.0,30385.0,40827.0,109年6月,22175602,32927,166307,6946528,6713407,939934,66592,14023314,13193236,830078
109年7月,22200508.0,8161180.0,14039328.0,30874.0,13.91,144.0,147.0,70.0,30730.0,41139.0,109年7月,22200508,32912,166670,6955130,6721643,939725,66743,14039328,13219094,820234
109年8月,22226118.0,8166951.0,14059167.0,29556.0,13.31,130.0,133.0,48.0,29426.0,39054.0,109年8月,22226118,32828,166756,6960913,6726803,939676,66778,14059167,13246155,813012
109年9月,22264293.0,8178242.0,14086051.0,28580.0,12.85,135.0,139.0,63.0,28445.0,38044.0,109年9月,22264293,32780,167151,6970642,6735847,940722,66947,14086051,13281258,804793
109年10月,22291007.0,8190643.0,14100364.0,30599.0,13.74,153.0,157.0,65.0,30446.0,41214.0,109年10月,22291007,32698,167253,6981794,6746466,941629,67269,14100364,13303722,796642
109年11月,22312836.0,8203074.0,14109762.0,33214.0,14.89,143.0,146.0,84.0,33071.0,44484.0,109年11月,22312836,32629,167369,6993293,6757738,942268,67515,14109762,13323724,786038
109年12月,22297000.0,8193237.0,14103763.0,35597.0,15.96,157.0,161.0,70.0,35440.0,47234.0,109年12月,22297000,32521,167307,6984750,6749381,941016,67643,14103763,13333841,769922
110年1月,22327011.0,8211069.0,14115942.0,35808.0,16.05,176.0,179.0,74.0,35632.0,47557.0,110年1月,22327011,32463,167647,7000875,6764172,942418,67666,14115942,13351735,764207
110年2月,22345340.0,8222171.0,14123169.0,28831.0,12.91,163.0,175.0,90.0,28668.0,38778.0,110年2月,22345340,32458,167756,7011023,6774033,943107,67827,14123169,13363573,759596
110年3月,22380410.0,8240698.0,14139712.0,30507.0,13.64,145.0,154.0,87.0,30362.0,40929.0,110年3月,22380410,32434,167982,7027428,6789143,944785,68069,14139712,13385575,754137
110年4月,22405451.0,8253208.0,14152243.0,30278.0,13.52,136.0,138.0,55.0,30142.0,40906.0,110年4月,22405451,32427,168274,7037927,6798263,946408,68172,14152243,13403353,748890
110年5月,22423353.0,8257801.0,14165552.0,28069.0,12.52,162.0,167.0,65.0,27907.0,37404.0,110年5月,22423353,32385,168655,7041391,6801044,947181,68189,14165552,13421034,744518
110年6月,22435245.0,8262226.0,14173019.0,21489.0,9.58,121.0,125.0,49.0,21368.0,27922.0,110年6月,22435245,32313,169012,7044953,6805119,947915,68033,14173019,13432782,740237
110年7月,22454866.0,8274017.0,14180849.0,24753.0,11.03,143.0,147.0,56.0,24610.0,32373.0,110年7月,22454866,32268,169426,7055048,6815583,949153,68122,14180849,13446897,733952
110年8月,22477330.0,8281602.0,14195728.0,27398.0,12.2,131.0,134.0,50.0,27267.0,35847.0,110年8月,22477330,32208,169599,7061857,6822566,949559,68379,14195728,13467537,728191
110年9月,22517371.0,8298452.0,14218919.0,29150.0,12.96,148.0,151.0,58.0,29002.0,38594.0,110年9月,22517371,32143,169962,7076445,6836238,951241,68661,14218919,13495135,723784
110年10月,22546077.0,8308139.0,14237938.0,31993.0,14.2,164.0,165.0,76.0,31829.0,42739.0,110年10月,22546077,32074,170284,7084949,6844640,952057,68775,14237938,13519122,718816
110年11月,22578924.0,8320305.0,14258619.0,33063.0,14.65,159.0,164.0,75.0,32904.0,44431.0,110年11月,22578924,32012,170513,7095489,6854604,953125,69166,14258619,13545879,712740
110年12月,22597694.0,8330774.0,14266920.0,36882.0,16.33,158.0,161.0,62.0,36724.0,49090.0,110年12月,22597694,31936,170833,7104034,6862695,954793,69178,14266920,13562248,704672
111年1月,22619852.0,8344809.0,14275043.0,33090.0,14.64,166.0,168.0,71.0,32924.0,43893.0,111年1月,22619852,31920,171107,7117693,6875262,955198,68891,14275043,13574498,700545
111年2月,22636331.0,8351785.0,14284546.0,24599.0,10.87,124.0,131.0,35.0,24475.0,32330.0,111年2月,22636331,31931,171309,7123439,6880598,956201,68905,14284546,13587132,697414
111年3月,22656923.0,8360344.0,14296579.0,30943.0,13.66,161.0,166.0,68.0,30782.0,41087.0,111年3月,22656923,31898,171483,7130517,6887341,957489,68957,14296579,13603901,692678
