,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
1516,108年01月10日 18時50分00秒,雲林縣斗六市明德北路一段398號前,死亡1;受傷0,普通重型-機車;自用-小客車,120.548172,23.718308
1517,108年01月11日 05時26分00秒,雲林縣西螺鎮國道1號 230公里800.0公尺處北側向外側,死亡1;受傷0,自用-小客車;營業用-半聯結車;其他人-人;營業用-大貨車,120.472782,23.775474
1518,108年01月11日 09時05分00秒,宜蘭縣蘇澳鎮蘇濱路口 / 宜蘭縣蘇澳鎮馬賽路口,死亡1;受傷0,普通重型-機車;自用-小客車,121.834675,24.6259
1519,108年01月11日 09時36分00秒,臺中市北屯區松竹里崇德路二段321號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小貨車(含客、貨兩用),120.686063,24.178273
1520,108年01月11日 10時12分53秒,苗栗縣後龍鎮新港六路與豐富六路口,死亡1;受傷0,民營公車-大客車;普通重型-機車,120.820949,24.604039
1521,108年01月11日 11時22分54秒,花蓮縣花蓮市民權路口 / 花蓮縣花蓮市民權八街口,死亡1;受傷0,普通重型-機車;自用-小客車,121.625749,23.987787
1522,108年01月11日 15時59分00秒,臺中市清水區下湳里014鄰中山路446之08號前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,120.582754,24.283085
1523,108年01月11日 16時35分00秒,彰化縣芳苑鄉台17線 50公里600.0公尺處南側向外側,死亡1;受傷1,普通重型-機車;乘客-人,120.341811,23.96576
1524,108年01月11日 21時42分00秒,新北市泰山區泰林路 / 新北市泰山區新北大道,死亡1;受傷0,自用-小客車;普通重型-機車,121.429309,25.06335
1525,108年01月11日 23時39分01秒,花蓮縣壽豐鄉中華路二段(和榮橋北端),死亡1;受傷0,普通重型-機車,121.520318,23.880646
1526,108年01月12日 00時00分00秒,新北市板橋區民生路2段前0.0公尺,死亡1;受傷0,普通重型-機車,121.47145,25.020326
1527,108年01月12日 01時07分00秒,高雄市前鎮區瑞隆路 / 高雄市前鎮區永豐路,死亡1;受傷0,自用-小客車;行人-人,120.333588,22.605671
1528,108年01月12日 12時26分00秒,臺中市太平區宜佳里新平路二段125巷14號前0.0公尺,死亡1;受傷0,動力機械-其他車;其他人-人,120.714284,24.138817
1529,108年01月12日 13時05分00秒,新北市三峽區復興路120號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.372332,24.93799
1530,108年01月12日 14時19分00秒,新北市新店區國道3號 29公里100.0公尺處南側向內側,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人;乘客-人,121.539365,24.958751
1531,108年01月12日 14時40分00秒,臺南市安平區安北路口 / 臺南市安平區州平路口,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人,120.144498,22.996091
1532,108年01月12日 19時09分00秒,新北市土城區中央路4段213號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.413873,24.955711
1533,108年01月12日 19時13分55秒,臺中市神岡區國道1號 168公里500.0公尺處北側向外側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車,120.689749,24.244086
1534,108年01月13日 02時33分00秒,嘉義縣水上鄉國道1號 272公里300.0公尺處南側向中線,死亡1;受傷3,自用-小客車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;乘客-人,120.358876,23.431245
1535,108年01月13日 05時26分37秒,苗栗縣苑裡鎮房裡里中山路與忠信街路口,死亡1;受傷0,自用-小客車;行人-人,120.647394,24.43418
1536,108年01月13日 05時50分00秒,屏東縣枋寮鄉中山路與中華路口,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,120.596731,22.3819
1537,108年01月13日 11時40分45秒,新竹縣寶山鄉科環路段,死亡1;受傷0,腳踏自行車-慢車,121.008339,24.765243
1538,108年01月13日 14時20分00秒,臺南市南化區台20線 48公里600.0公尺處西側向路肩,死亡1;受傷0,大型重型1(550C.C.以上)-機車,120.530795,23.076731
1539,108年01月13日 16時04分00秒,桃園市新屋區東興路2段1788號前0.0公尺附近,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.034688,25.014291
1540,108年01月13日 16時50分00秒,嘉義縣民雄鄉菁埔村菁埔1之10號,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.408234,23.558945
1541,108年01月13日 17時34分00秒,高雄市仁武區澄觀路2段 / 高雄市仁武區澄觀路2段,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.3642,22.71203
1542,108年01月13日 18時05分10秒,南投縣中寮鄉龍南路77-4號,死亡1;受傷1,普通重型-機車;行人-人,120.774332,23.941834
1543,108年01月13日 18時12分00秒,臺北市士林區延平北路5段 / 臺北市士林區葫蘆街,死亡1;受傷1,普通重型-機車;行人-人,121.510881,25.080026
1544,108年01月13日 19時30分22秒,宜蘭縣冬山鄉珍珠ㄧ路73號前0.0公尺附近,死亡1;受傷0,自用-小客車,121.783773,24.654037
1545,108年01月14日 02時27分00秒,臺北市內湖區成功路5段前0.0公尺,死亡1;受傷0,自用-小客車,121.607209,25.081066
1546,108年01月14日 04時18分00秒,臺南市玉井區台3線 376公里300.0公尺處南側,死亡2;受傷1,自用-小客車;農耕用車(或機械)-其他車;乘客-人,120.480341,23.1045
1547,108年01月14日 08時00分12秒,臺南市後壁區菁豐里區道南84線前0.0公尺口,死亡1;受傷0,普通重型-機車;自用-小客車,120.35643,23.382379
1548,108年01月14日 09時10分00秒,臺中市梧棲區永寧里永興路一段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.542404,24.226379
1549,108年01月14日 17時28分14秒,雲林縣麥寮鄉三盛村工業路590巷,死亡1;受傷1,自用-小客車;普通重型-機車,120.252897,23.795116
1550,108年01月14日 21時33分00秒,高雄市楠梓區大學十街 / 高雄市楠梓區高雄大學路,死亡1;受傷1,自用-小客車;普通重型-機車,120.28528,22.725537
1551,108年01月15日 08時30分34秒,臺南市白河區秀祐里市道172線前0.0公尺西側,死亡1;受傷0,自用-小客車;營業用-大貨車,120.395981,23.347046
1552,108年01月15日 12時42分00秒,臺北市北投區行義路154巷前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,121.528254,25.130503
1553,108年01月15日 15時56分00秒,新北市板橋區板林路 / 新北市板橋區滿平街,死亡1;受傷1,普通輕型-機車;行人-人,121.42639,24.990655
1554,108年01月15日 17時00分00秒,新北市蘆洲區長榮路 / 新北市蘆洲區永康街,死亡1;受傷1,普通重型-機車;普通重型-機車,121.46377,25.082184
1555,108年01月15日 18時15分44秒,南投縣竹山鎮延和里集山路3段南側 / 南投縣竹山鎮延和里鹿山路東側,死亡1;受傷0,自用-小客車;普通輕型-機車,120.693307,23.761296
1556,108年01月15日 21時34分00秒,臺中市西屯區何仁里文心路三段119號前0.0公尺,死亡1;受傷0,遊覽車-大客車;普通重型-機車,120.655145,24.168831
1557,108年01月16日 05時18分00秒,臺中市大里區大里里大里路432號前0.0公尺,死亡1;受傷0,普通重型-機車;行人-人,120.67529,24.09779
1558,108年01月16日 05時30分00秒,臺中市大安區中庄里南安路88號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-全聯結車,120.581465,24.350113
1559,108年01月16日 12時15分00秒,桃園市平鎮區台66線 19公里西側向中內,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.205057,24.928902
1560,108年01月16日 13時20分00秒,高雄市仁武區澄觀路1段文武0974燈號前0.0公尺,死亡1;受傷0,普通重型-機車,120.359262,22.698507
1561,108年01月16日 19時12分08秒,桃園市大溪區瑞安路2段口 / 桃園市大溪區瑞安路2段口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人;自用-小客車,121.281663,24.872455
1562,108年01月16日 20時15分00秒,臺中市豐原區豐田里豐原大道三段286巷前0.0公尺,死亡1;受傷0,普通重型-機車,120.728986,24.237926
1563,108年01月16日 22時46分00秒,新北市淡水區民權路 / 新北市淡水區民權路,死亡1;受傷1,計程車-小客車;普通重型-機車,121.459237,25.133559
1564,108年01月17日 05時43分00秒,臺中市西區藍興里三民路一段前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.668893,24.132052
1565,108年01月17日 06時15分23秒,屏東縣枋寮鄉台17線 272公里700.0公尺處南側,死亡1;受傷0,租賃車-小客車,120.591008,22.391132
1566,108年01月17日 08時59分00秒,新北市板橋區光環路1段 / 新北市板橋區光中路,死亡1;受傷0,自用-小客車;行人-人,121.483964,25.017654
1567,108年01月17日 11時35分00秒,宜蘭縣蘇澳鎮台2線 165公里54.0公尺處北側向中線,死亡1;受傷0,自用-小客車;自用-大貨車,121.855657,24.60915
1568,108年01月17日 11時47分00秒,新竹縣竹北市華興街與華興街357巷口,死亡1;受傷1,普通重型-機車;乘客-人;自用-小客車,120.998813,24.836371
1569,108年01月17日 18時06分00秒,高雄市橋頭區村南溝路2段仕和039電桿號前0.0公尺,死亡1;受傷0,普通重型-機車,120.30487,22.750168
1570,108年01月17日 19時27分00秒,臺中市后里區公館里三豐路五段716巷前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,120.73214,24.341434
1571,108年01月17日 20時23分00秒,新北市板橋區環河西路5段 / 新北市板橋區板城路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.485541,25.022253
1572,108年01月18日 00時47分58秒,苗栗縣西湖鄉國道3號 136公里100.0公尺處南側,死亡1;受傷2,營業用-半聯結車;營業用-半聯結車;營業用-大貨車;自用-小客車;自用-小客車;自用-小客車;自用-小客車;營業用-大貨車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用),120.750308,24.553714
1573,108年01月18日 01時16分50秒,南投縣竹山鎮集山路三段14號前,死亡1;受傷0,普通重型-機車,120.706305,23.767007
1574,108年01月18日 07時54分00秒,桃園市大溪區復興路1段口 / 桃園市大溪區頭寮一路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.288603,24.841551
1575,108年01月18日 08時56分00秒,臺北市大安區和平東路3段60號前0.0公尺,死亡1;受傷0,租賃車-小客車;營業用-曳引車;普通重型-機車,121.549091,25.024376
1576,108年01月18日 11時30分00秒,基隆市安樂區湖海路二段編號68506燈桿處,死亡1;受傷0,普通重型-機車,121.720409,25.163811
1577,108年01月18日 12時11分00秒,雲林縣西螺鎮河南里興農西路與頂茄塘路口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.435377,23.793404
1578,108年01月18日 13時00分00秒,彰化縣芳苑鄉三成村小西路前0.0公尺,死亡1;受傷3,自用-小貨車(含客、貨兩用);自用-小客車;行人-人;乘客-人,120.31516,23.881973
1579,108年01月18日 13時22分46秒,苗栗縣竹南鎮開元里開元路與開元路487巷口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.867611,24.679311
1580,108年01月19日 03時10分52秒,臺南市東區中華東路1段口 / 臺南市東區小東路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.234787,22.99834
1581,108年01月19日 17時36分05秒,雲林縣麥寮鄉六輕聯絡道,死亡1;受傷0,自用-小客車,120.256692,23.818222
1582,108年01月19日 18時43分00秒,雲林縣林內鄉重興村重興185-6號前,死亡1;受傷0,自用-小客車;普通重型-機車,120.574767,23.767547
1583,108年01月19日 18時50分00秒,屏東縣萬丹鄉上村村和平西路口 / 屏東縣萬丹鄉上村村大圳路口,死亡2;受傷0,普通重型-機車;自用-小客車;乘客-人,120.47633,22.593272
1584,108年01月19日 20時35分00秒,彰化縣溪湖鎮東寮里彰水路4段60號前0.0公尺前,死亡1;受傷0,自用-小客車;行人-人,120.480065,23.966727
1585,108年01月20日 04時27分00秒,高雄市左營區民族一路928之1號前0.0公尺前,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.317481,22.67201
1586,108年01月20日 05時53分00秒,臺中市西區忠明里臺灣大道前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,120.663759,24.154618
1587,108年01月20日 11時45分00秒,彰化縣埔心鄉東門村中正路1段322號前0.0公尺前,死亡1;受傷1,行人-人;普通重型-機車,120.543464,23.951447
1588,108年01月20日 14時05分00秒,花蓮縣秀林鄉台8線 167公里600.0公尺處東側向路肩,死亡1;受傷0,大型重型1(550C.C.以上)-機車,121.488821,24.208908
1589,108年01月20日 19時33分00秒,桃園市平鎮區建明路1段269巷前0.0公尺口,死亡1;受傷1,普通重型-機車;行人-人,121.238561,24.9174
1590,108年01月21日 07時33分00秒,臺中市南屯區中和里南光路前0.0公尺,死亡1;受傷0,電動輔助自行車-慢車;自用-小貨車(含客、貨兩用),120.625239,24.115308
1591,108年01月21日 11時09分00秒,彰化縣秀水鄉安東村彰水路1段340號前100.0公尺南側,死亡1;受傷1,普通重型-機車;行人-人,120.506099,24.042727
1592,108年01月21日 17時33分00秒,花蓮縣富里鄉81縣道1.4公里,死亡1;受傷0,自用-小貨車(含客、貨兩用),121.227857,23.145266
1593,108年01月21日 19時50分00秒,澎湖縣馬公市縣204線 3公里970.0公尺處西側向外側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),119.614248,23.550533
1594,108年01月21日 20時36分00秒,高雄市三民區民族一路58號前0.0公尺,死亡1;受傷0,普通輕型-機車;自用-小客車,120.314493,22.641737
1595,108年01月21日 21時49分00秒,屏東縣麟洛鄉中山路66號前,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人;乘客-人,120.532602,22.644398
1596,108年01月22日 01時05分00秒,臺北市文山區羅斯福路5段50號前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人,121.538115,25.007997
1597,108年01月22日 05時43分00秒,新北市三重區重新路4段 / 新北市三重區集美街,死亡1;受傷0,自用-小客車;行人-人,121.487227,25.057126
1598,108年01月23日 07時30分00秒,屏東縣萬巒鄉成德村保安路11-6號前,死亡1;受傷0,普通重型-機車,120.614055,22.620445
1599,108年01月23日 08時21分23秒,臺南市北區中華北路1段西側 / 臺南市北區安明路觀海橋北側,死亡2;受傷0,營業用-大貨車;普通輕型-機車;乘客-人,120.184769,23.011716
1600,108年01月23日 14時55分00秒,臺中市潭子區福仁里中山路前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車,120.703441,24.200853
1601,108年01月23日 16時50分00秒,南投縣埔里鎮仁愛路25號前,死亡1;受傷1,普通重型-機車;普通重型-機車,120.964023,23.967875
1602,108年01月23日 17時11分10秒,嘉義縣太保市新埤里台18線道3.2公里與產業道路口,死亡1;受傷0,自用-大貨車;普通重型-機車,120.344306,23.479602
1603,108年01月23日 18時05分00秒,臺北市內湖區潭美街195號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,121.584134,25.055568
1604,108年01月23日 18時55分21秒,桃園市蘆竹區南竹路2段125號號前0.0公尺南側,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.284277,25.041105
1605,108年01月23日 19時48分00秒,新北市蘆洲區捷運機廠門口附近,死亡1;受傷0,普通重型-機車;自用-小客車;乘客-人;乘客-人,121.457156,25.091173
1606,108年01月23日 22時50分00秒,臺中市大里區大元里環中東路七段前0.0公尺,死亡3;受傷3,自用-小貨車(含客、貨兩用);計程車-小客車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人,120.687623,24.094668
1607,108年01月24日 02時14分00秒,臺中市西屯區何南里臺灣大道二段825號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,120.652594,24.160774
1608,108年01月24日 09時05分10秒,雲林縣口湖鄉過港村過港路124號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.189237,23.569559
1609,108年01月24日 09時45分00秒,宜蘭縣南澳鄉台9丁線15公里900公尺,死亡1;受傷0,營業用-曳引車,121.841555,24.52164
1610,108年01月24日 10時27分00秒,臺南市新化區山脚里省道臺19甲線頂山腳53之20號前0.0公尺口,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,120.309089,23.019013
1611,108年01月24日 10時56分53秒,桃園市中壢區月眉路2段176號前0.0公尺,死亡1;受傷0,普通重型-機車,121.182234,25.006139
1612,108年01月24日 12時15分00秒,彰化縣埔鹽鄉瓦󿾨村光明路2段167-4號前0.0公尺,死亡1;受傷0,營業用-小貨車(含客、貨兩用);普通重型-機車,120.469026,24.010443
1613,108年01月24日 17時17分00秒,高雄市彌陀區光和路2-5號前0.0公尺前,死亡1;受傷2,普通重型-機車;行人-人;乘客-人,120.245678,22.783876
1614,108年01月24日 19時52分00秒,雲林縣水林鄉雲164公路(水林27號電桿旁),死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.237606,23.572009
1615,108年01月24日 21時15分00秒,嘉義縣六腳鄉六腳村六腳5號前,死亡1;受傷0,普通重型-機車,120.254164,23.506014
1616,108年01月25日 06時06分27秒,臺南市麻豆區海埔里市道171線大山腳1之12號前0.0公尺西側,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),120.222126,23.19105
1617,108年01月25日 07時49分00秒,新北市鶯歌區堤外道路前0.0公尺,死亡1;受傷2,大型重型2(250-550C.C.)-機車;普通重型-機車;乘客-人,121.35,24.95
1618,108年01月25日 09時40分03秒,屏東縣新園鄉新園村新南路360號,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.454031,22.525527
1619,108年01月25日 10時54分00秒,臺南市北區和緯路1段口 / 臺南市北區旭日街,死亡1;受傷0,普通重型-機車;民營客運-大客車,120.210433,23.010733
1620,108年01月25日 12時05分35秒,宜蘭縣大同鄉樂水村宜51縣道10.5公里前方50公尺處,死亡1;受傷0,普通重型-機車;自用-小客車,121.541854,24.610954
1621,108年01月25日 12時17分00秒,桃園市新屋區大坡里大坡路362號前50.0公尺附近,死亡1;受傷0,普通重型-機車,121.057167,24.959107
1622,108年01月25日 12時24分39秒,苗栗縣竹南鎮海口里西濱公路93公里往北慢車道,死亡1;受傷0,營業用-全聯結車;普通重型-機車,120.847094,24.680638
1623,108年01月25日 14時56分27秒,臺中市外埔區國道3號 167公里700.0公尺處南側向內側,死亡1;受傷0,自用-小客車;自用-小客車;自用-小客車,120.648534,24.339139
1624,108年01月25日 15時50分48秒,苗栗縣後龍鎮東明里頂浮尾40-8號附近,死亡1;受傷0,自用-小客車;普通重型-機車,120.799095,24.630524
1625,108年01月25日 18時11分00秒,雲林縣土庫鎮埤腳里扶朝土地公廟旁,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.360751,23.67472
1626,108年01月25日 19時25分00秒,臺東縣池上鄉縣197線 9公里100.0公尺處附近,死亡1;受傷0,自用-大貨車,121.202091,23.05362
1627,108年01月25日 21時00分00秒,屏東縣屏東市和生路一段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.498315,22.655161
1628,108年01月26日 04時35分00秒,新竹市香山區延平路二段817-2號,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人,120.922968,24.808777
1629,108年01月26日 08時38分18秒,苗栗縣苑裡鎮中山路與天下路口,死亡1;受傷0,自用-小客車;電動自行車-慢車,120.65047,24.440455
1630,108年01月26日 13時09分59秒,嘉義縣太保市過溝里瓦厝45之15號前,死亡2;受傷0,自用-小客車;乘客-人,120.350124,23.490907
1631,108年01月26日 16時25分12秒,嘉義縣溪口鄉本厝村本廳37號前,死亡1;受傷0,普通重型-機車;自用-小客車,120.38934,23.578046
1632,108年01月26日 19時46分00秒,臺北市萬華區環河快速道路前0.0公尺,死亡1;受傷3,自用-小客車;大型重型2(250-550C.C.)-機車;乘客-人;乘客-人,121.493657,25.017806
1633,108年01月27日 02時52分00秒,嘉義縣溪口鄉國道1號 252公里830.0公尺處北側向外側,死亡1;受傷1,自用-小客車;自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);自用-小客車;營業用-半聯結車;乘客-人,120.433908,23.595405
1634,108年01月27日 08時53分00秒,雲林縣莿桐鄉饒平村產業道路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.517406,23.772166
1635,108年01月27日 11時07分00秒,新北市板橋區華江三路 / 新北市板橋區華江五路,死亡1;受傷0,營業用-半聯結車;普通重型-機車,121.468175,25.02318
1636,108年01月27日 18時19分00秒,彰化縣芳苑鄉漢寶村大同路393弄28號前0.0公尺,死亡1;受傷0,普通重型-機車,120.361365,24.00351
1637,108年01月28日 05時26分28秒,臺南市南區中華西路1段23號前0.0公尺北側,死亡1;受傷1,普通重型-機車;乘客-人,120.183697,22.965656
1638,108年01月28日 08時02分00秒,花蓮縣壽豐鄉志學村中山路3段口 / 花蓮縣壽豐鄉志學村中山路3段口,死亡1;受傷0,普通重型-機車;自用-小客車,121.530514,23.908852
1639,108年01月28日 10時00分00秒,臺東縣臺東市大和路91巷前0.0公尺,死亡1;受傷0,普通重型-機車,121.057996,22.704343
1640,108年01月28日 22時05分00秒,花蓮縣玉里鎮縣193線 103公里800.0公尺處南側,死亡1;受傷0,自用-小客車,121.352491,23.381853
1641,108年01月29日 05時36分00秒,桃園市大溪區復興路2段口 / 桃園市大溪區環湖路口,死亡1;受傷2,普通重型-機車;行人-人;乘客-人,121.288522,24.819576
1642,108年01月29日 07時49分36秒,金門縣金寧鄉伯玉路2段口 / 金門縣金寧鄉盤果路口,死亡1;受傷0,自用-小客車;普通重型-機車,118.340298,24.441082
1643,108年01月29日 14時42分00秒,澎湖縣湖西鄉澎13號道6.9公里處,死亡1;受傷2,自用-小客車;乘客-人;乘客-人,119.635397,23.564895
1644,108年01月29日 14時59分43秒,屏東縣東港鎮興東里沿海路76號,死亡1;受傷0,腳踏自行車-慢車;營業用-大貨車,120.463033,22.465602
1645,108年01月29日 17時06分53秒,南投縣埔里鎮樹人路163號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小客車,120.974874,23.960013
1646,108年01月29日 23時40分00秒,高雄市三民區博愛一路271號前0.0公尺,死亡1;受傷0,計程車-小客車;普通重型-機車;自用-小客車;普通重型-機車,120.3032,22.64823
1647,108年01月30日 07時33分00秒,臺中市太平區平安里鵬儀路214巷6弄前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.726221,24.119554
1648,108年01月30日 13時05分00秒,屏東縣里港鄉中山南路口 / 屏東縣里港鄉里中路口,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車,120.494226,22.773242
1649,108年01月30日 16時10分00秒,臺中市大安區中庄里中山南路前0.0公尺,死亡1;受傷0,普通重型-機車,120.584951,24.355971
1650,108年01月30日 16時10分44秒,臺東縣大武鄉台9線 438公里450.0公尺處西側,死亡1;受傷0,普通重型-機車;自用-小客車,120.894115,22.336689
1651,108年01月30日 17時19分00秒,雲林縣崙背鄉水尾村下街40-10號前,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),120.335806,23.788275
1652,108年01月30日 19時59分00秒,嘉義縣太保市新埤里台18線近4KM往東,死亡1;受傷1,普通重型-機車;乘客-人,120.34124,23.478549
1653,108年01月31日 08時30分01秒,雲林縣口湖鄉雲147線與雲143線口,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.173203,23.538543
1654,108年01月31日 13時39分00秒,臺南市安南區安吉路3段南側 / 臺南市安南區安順庄大道附近,死亡1;受傷0,營業用-半聯結車;普通重型-機車,120.192401,23.075289
1655,108年01月31日 14時40分00秒,高雄市美濃區中興路1段前 / 高雄市美濃區中興路1段,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用),120.5541,22.88178
1656,108年02月01日 00時49分00秒,高雄市仁武區高楠公路28號前0.0公尺,死亡1;受傷0,普通重型-機車,120.322254,22.692436
1657,108年02月01日 07時35分00秒,臺南市將軍區台17線 151公里300.0公尺處口,死亡1;受傷1,普通重型-機車;自用-小客車,120.133897,23.199825
1658,108年02月01日 07時59分00秒,臺南市六甲區甲東里市道165線前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車,120.352935,23.24126
1659,108年02月01日 08時36分03秒,苗栗縣苑裡鎮新復里新復五路與新復十六路口,死亡1;受傷0,自用-小客車;普通重型-機車,120.646747,24.418544
1660,108年02月01日 15時56分00秒,嘉義縣大林鎮三村里潭墘嘉100線2公里100公尺處,死亡1;受傷0,普通重型-機車,120.478763,23.626782
1661,108年02月01日 20時31分00秒,彰化縣芳苑鄉漢寶村草漢路漢寶段前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,120.385886,24.008158
1662,108年02月02日 00時11分00秒,嘉義縣民雄鄉菁埔村164線27公里200公尺處,死亡1;受傷1,普通重型-機車;自用-大貨車;乘客-人,120.399104,23.558647
1663,108年02月02日 04時02分00秒,臺中市大里區永隆里國光路二段333號前0.0公尺,死亡2;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車;計程車-小客車;普通重型-機車;自用-小客車;自用-小客車;自用-小客車;租賃車-小客車,120.680036,24.107814
1664,108年02月02日 06時16分00秒,高雄市鳳山區過埤路 / 高雄市鳳山區過勇路,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),120.36289,22.58997
1665,108年02月02日 09時54分00秒,新北市新莊區中正路 / 新北市新莊區龍安路,死亡1;受傷1,自用-小客車;大型重型2(250-550C.C.)-機車;乘客-人,121.452619,25.036297
1666,108年02月02日 15時20分00秒,臺中市大甲區西岐里順帆路40巷2號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.63635,24.41045
1667,108年02月02日 19時33分00秒,彰化縣花壇鄉岩竹村環山路53號前0.0公尺前,死亡1;受傷1,行人-人;普通重型-機車,120.572977,24.054838
1668,108年02月02日 20時56分00秒,高雄市橋頭區仕隆南路 / 高雄市橋頭區成功南路,死亡1;受傷1,大型重型2(250-550C.C.)-機車;行人-人,120.312955,22.752182
1669,108年02月03日 01時25分00秒,苗栗縣獅潭鄉台三線110.1公里處,死亡1;受傷0,普通重型-機車,120.883727,24.466052
1670,108年02月03日 01時43分39秒,南投縣埔里鎮信義路台14線55.95公里處,死亡1;受傷0,自用-大貨車;普通重型-機車,120.961121,23.972355
1671,108年02月04日 05時08分00秒,嘉義縣義竹鄉後鎮村172線5公里300公尺處,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.205795,23.365234
1672,108年02月04日 15時56分00秒,基隆市仁愛區南榮路503之1號(梵宇天閣)前,死亡1;受傷0,普通重型-機車;自用-小客車,121.74191,25.113912
1673,108年02月04日 21時50分00秒,臺中市西屯區上德里臺灣大道三段前0.0公尺,死亡1;受傷2,自用-小客車;大型重型1(550C.C.以上)-機車;乘客-人,120.64144,24.167598
1674,108年02月05日 00時49分00秒,高雄市鳳山區鳳仁路184號前0.0公尺,死亡1;受傷0,普通重型-機車;租賃車-小客車,120.371765,22.637013
1675,108年02月05日 14時44分38秒,嘉義縣六腳鄉蒜頭村村里道路(電桿:蒜頭46分14東3NO799GE50),死亡1;受傷0,普通重型-機車,120.280585,23.500036
1676,108年02月05日 18時15分00秒,臺東縣長濱鄉台11線 84公里100.0公尺處北側向中線,死亡1;受傷0,自用-小客車;行人-人,121.465521,23.34175
1677,108年02月05日 19時42分00秒,臺南市東區北門路2段12號北側,死亡1;受傷2,行人-人;普通重型-機車;自用-小客車;乘客-人,120.212382,22.997745
1678,108年02月05日 20時57分00秒,臺中市北區新興里公園路前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.684447,24.142294
1679,108年02月06日 14時40分00秒,彰化縣溪州鄉舊眉村溪斗路99號前0.0公尺前,死亡1;受傷0,普通重型-機車,120.517228,23.853718
1680,108年02月06日 16時25分00秒,臺東縣成功鎮台11線 128公里北側向路肩,死亡1;受傷1,自用-小客車;乘客-人,121.401682,23.172387
1681,108年02月06日 22時38分00秒,雲林縣東勢鄉嘉隆村南興街,死亡1;受傷2,自用-小客車;行人-人;行人-人,120.255333,23.672795
