,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
3471,109年02月04日 12時06分00秒,彰化縣田尾鄉新生村福生巷 / 彰化縣田尾鄉新生村延平路,死亡1;受傷0,自用-小客車;普通重型-機車,120.548323,23.89076
3472,109年02月04日 15時35分00秒,高雄市小港區高鳳路 / 高雄市小港區松興路,死亡1;受傷0,營業用-曳引車;普通重型-機車,120.371235,22.574926
3473,109年02月04日 20時05分01秒,南投縣名間鄉國道3號 239公里200.0公尺處南側向外側,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-大貨車;自用-小客車,120.701804,23.856058
3474,109年02月05日 06時48分00秒,新北市淡水區中正東路2段153號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.459527,25.145854
3475,109年02月05日 07時30分00秒,臺中市北屯區仁和里松竹路三段610號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車;自用-小客車;自用-小客車,120.674084,24.189546
3476,109年02月05日 14時43分00秒,新北市林口區中湖路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;營業用-大貨車,121.384077,25.100406
3477,109年02月05日 18時30分00秒,高雄市鼓山區九如四路 / 高雄市鼓山區金川街,死亡1;受傷0,自用-小客車;行人-人,120.2791,22.64994
3478,109年02月06日 04時45分00秒,臺中市霧峰區本堂里福新路35巷168號前0.0公尺,死亡1;受傷0,普通重型-機車,120.693243,24.050776
3479,109年02月06日 07時18分00秒,高雄市大寮區光華路 / 高雄市大寮區華西路,死亡1;受傷0,自用-小客車;普通重型-機車,120.422738,22.582813
3480,109年02月06日 11時30分00秒,苗栗縣大湖鄉苗130線0.2K,死亡1;受傷0,普通重型-機車,120.812217,24.38724
3481,109年02月06日 13時15分00秒,屏東縣潮州鎮榮田路225巷7-1號前,死亡1;受傷0,營業用-大貨車;普通重型-機車,120.530841,22.552879
3482,109年02月06日 20時39分00秒,臺中市大雅區二和里雅潭路四段646號前0.0公尺,死亡1;受傷2,普通重型-機車;行人-人;乘客-人,120.65412,24.221181
3483,109年02月07日 02時01分00秒,新北市新莊區環漢路2段前0.0公尺,死亡1;受傷0,普通重型-機車,121.463212,25.039614
3484,109年02月07日 03時14分24秒,桃園市龍潭區福龍路3段2巷前0.0公尺口,死亡1;受傷0,普通重型-機車,121.21929,24.879958
3485,109年02月07日 04時58分00秒,桃園市龜山區長壽路130號(S109020141-龜山派出所),死亡1;受傷0,行人-人;自用-大貨車,121.342456,25.001473
3486,109年02月07日 06時13分00秒,臺南市安南區公學路6段490巷前0.0公尺口,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用);自用-小客車,120.147391,23.078375
3487,109年02月07日 06時25分00秒,臺南市南區大成路東側 / 臺南市南區國民路東側,死亡1;受傷0,普通重型-機車,120.204118,22.97518
3488,109年02月07日 07時49分00秒,彰化縣彰化市三村里三村路468號前0.0公尺,死亡1;受傷0,普通重型-機車,120.593539,24.095809
3489,109年02月07日 07時53分00秒,桃園市蘆竹區台61線南下橋墩PA18號附近V109020143,死亡1;受傷0,普通重型-機車,121.265152,25.118334
3490,109年02月07日 09時27分00秒,彰化縣埔鹽鄉三省村好金路 / 彰化縣埔鹽鄉三省村好金路,死亡1;受傷1,自用-小客車;自用-小貨車(含客、貨兩用),120.447865,23.967903
3491,109年02月07日 10時10分00秒,高雄市六龜區台27線 2公里100.0公尺處北側向其他,死亡1;受傷2,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);乘客-人,120.667477,23.056742
3492,109年02月07日 10時13分00秒,臺中市西屯區龍潭里環中路三段１１１８號前0.0公尺,死亡1;受傷0,動力機械-其他車;普通重型-機車;自用-小客車,120.672085,24.201262
