發生時間,發生地點,死亡受傷人數,車種,經度,緯度
103年06月16日 13時00分00秒,新竹縣寶山鄉國道3號 101公里400.0公尺處北向交流道,死亡1;受傷0,自用-半聯結車,,
103年06月16日 16時45分00秒,臺南市後壁區南83線仕安高幹77右4左4號電桿處,死亡1;受傷0,拼裝車-其他車;普通輕型-機車,,
103年06月16日 16時59分00秒,臺中市大里區東興里國光路二段 / 臺中市大里區東興里東榮路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,,
103年06月16日 23時28分00秒,嘉義縣東石鄉橋下道路與村里道路口,死亡1;受傷0,自用-大貨車;普通重型-機車,,
103年06月17日 00時20分00秒,屏東縣枋寮鄉台1 437公里300.0公尺處北向外側,死亡1;受傷1,行人-人;普通重型-機車,,
103年06月17日 06時13分00秒,桃園縣八德市大興里大興路1188號前0.0公尺,死亡1;受傷2,計程車-小客車;普通重型-機車;乘客-人,,
103年06月17日 19時10分00秒,高雄市仁武區八德西路前0.0公尺,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,,
103年06月17日 19時25分00秒,彰化縣二水鄉,死亡1;受傷0,行人-人;火車-其他車,,
103年06月18日 07時37分00秒,臺南市新市區臺1線與新港社大道路口,死亡1;受傷1,普通重型-機車;普通重型-機車,,
103年06月18日 14時02分00秒,臺中市西屯區福雅里福雅路 / 臺中市西屯區福雅里福科路,死亡1;受傷0,普通輕型-機車;租賃車-小客車,,
103年06月18日 15時18分00秒,臺南市中西區金華路 / 臺南市中西區中正路,死亡1;受傷0,普通輕型-機車;自用-小客車,,
103年06月18日 17時44分00秒,新北市泰山區泰林路3段前0.0公尺,死亡1;受傷0,普通重型-機車;普通重型-機車;營業用-小貨車(含客、貨兩用),,
103年06月18日 19時30分00秒,彰化縣溪湖鎮大發路 / 彰化縣溪湖鎮大順路,死亡1;受傷2,普通重型-機車;行人-人;行人-人,,
103年06月19日 07時00分00秒,宜蘭縣宜蘭市梅洲二路19號前0.0公尺,死亡1;受傷0,小型輕型-機車;自用-小貨車(含客、貨兩用),,
103年06月19日 09時20分00秒,南投縣埔里鎮麒麟里武界路57之10號前0.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車,,
103年06月19日 10時01分00秒,桃園縣龜山鄉民生北路一段89號前0.0公尺,死亡1;受傷1,普通重型-機車;營業用-大貨車;乘客-人,,
103年06月19日 11時16分00秒,花蓮縣花蓮市主農里福建街 / 花蓮縣花蓮市主農里中原路,死亡1;受傷0,自用-大貨車;腳踏自行車-慢車,,
103年06月19日 12時35分00秒,臺北市南港區,死亡1;受傷1,普通重型-機車;乘客-人,,
103年06月19日 20時38分00秒,彰化縣田中鎮斗中路1段前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,,
103年06月20日 02時51分00秒,臺南市白河區172 32公里600.0公尺處西向外側,死亡1;受傷0,普通重型-機車,,
103年06月20日 04時45分00秒,嘉義市西區北港路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,,
103年06月20日 06時47分00秒,桃園縣蘆竹鄉國道1號 44公里南向外側,死亡1;受傷3,自用-小貨車(含客、貨兩用);乘客-人;乘客-人;乘客-人,,
103年06月20日 09時25分00秒,新竹縣竹東鎮國道3號 90公里南向內側,死亡1;受傷1,自用-小貨車(含客、貨兩用);自用-小客車;乘客-人,,
103年06月21日 00時10分00秒,新北市八里區,死亡1;受傷0,自用-小貨車(含客、貨兩用),,
103年06月21日 08時48分00秒,桃園縣觀音鄉中正路 / 桃園縣觀音鄉信義路,死亡1;受傷0,營業用-大貨車;行人-人,,
103年06月21日 10時15分00秒,高雄市大寮區溪寮路 / 高雄市大寮區溪寮路口,死亡1;受傷0,營業用-半聯結車;行人-人,,
103年06月21日 23時45分00秒,高雄市小港區高坪十八路 / 高雄市小港區高坪三十八街口,死亡1;受傷0,自用-小客車,,
103年06月21日 23時55分00秒,臺中市大肚區永順里萬興路前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年06月22日 09時55分00秒,桃園縣八德市大智里介壽路一段778號前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車;自用-小貨車(含客、貨兩用),,
103年06月22日 12時30分00秒,臺南市永康區和平路278-1號前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人,,
103年06月22日 14時52分00秒,新北市泰山區新北大道5段前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,,
103年06月22日 16時00分00秒,臺南市仁德區成功里文華路二段前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年06月22日 17時20分00秒,臺南市後壁區國道1號 278公里800.0公尺處北向外側,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人;乘客-人,,
103年06月22日 18時28分00秒,桃園縣八德市茄苳里東泰街前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),,
103年06月22日 21時58分00秒,臺南市山上區,死亡1;受傷0,自用-小客車;行人-人,,
103年06月22日 23時59分00秒,新竹市東區中華路二段367號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,,
103年06月23日 04時30分00秒,臺北市內湖區 / 臺北市內湖區潭美街,死亡1;受傷1,普通重型-機車;行人-人,,
103年06月23日 08時15分00秒,高雄市楠梓區藍昌路 / 高雄市楠梓區後昌路口,死亡1;受傷0,普通重型-機車;自用-小客車,,
103年06月23日 09時11分00秒,臺中市西屯區何安里四川路 / 臺中市西屯區何安里四川五街,死亡1;受傷1,普通重型-機車;普通重型-機車,,
103年06月23日 14時37分00秒,臺南市鹽水區橋南里治水路134號前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年06月23日 17時05分00秒,臺北市中山區中山北路 / 臺北市中山區酒泉街,死亡1;受傷1,普通重型-機車;普通重型-機車,,
103年06月23日 17時25分00秒,新北市永和區環河西路2段200號前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車,,
103年06月23日 21時15分00秒,新北市土城區中央路2段304號前0.0公尺,死亡1;受傷0,普通重型-機車;行人-人,,
103年06月24日 01時55分00秒,高雄市大寮區光明路三段前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年06月24日 07時20分00秒,臺東縣鹿野鄉中華路一段 / 臺東縣鹿野鄉柑園路,死亡1;受傷0,自用-小客車;普通重型-機車,,
103年06月24日 07時26分00秒,雲林縣水林鄉水北村新興北路與萬興路口,死亡1;受傷1,普通重型-機車;自用-小客車,,
103年06月24日 08時00分00秒,彰化縣溪湖鎮地政路 / 彰化縣溪湖鎮富貴街,死亡1;受傷0,自用-小客車;普通重型-機車;自用-大貨車,,
103年06月24日 08時57分00秒,臺東縣海端鄉台9 327公里200.0公尺處北向路緣,死亡1;受傷0,普通重型-機車,,
103年06月24日 09時59分00秒,苗栗縣通霄鎮台1 131公里400.0公尺處北向中線,死亡1;受傷0,自用-小客車;普通重型-機車,,
103年06月24日 14時30分00秒,屏東縣恆春鎮恆東路段(恆滿幹39號)200線3.5k,死亡1;受傷0,普通重型-機車;自用-小客車,,
103年06月24日 14時45分00秒,高雄市鳳山區過埤路前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年06月24日 16時24分00秒,屏東縣竹田鄉美崙村美崙路前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,,
103年06月24日 19時25分00秒,苗栗縣頭份鎮自強路二段418號前,死亡1;受傷0,自用-大貨車;普通重型-機車,,
103年06月25日 05時20分00秒,高雄市左營區翠華路前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年06月25日 07時18分00秒,彰化縣埤頭鄉埤圳南路 / 彰化縣埤頭鄉新庄路,死亡1;受傷1,營業用-曳引車;普通重型-機車;乘客-人,,
103年06月25日 08時22分00秒,彰化縣芬園鄉彰南路1段前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,,
103年06月25日 14時10分00秒,高雄市小港區飛機路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,,
103年06月25日 20時50分00秒,苗栗縣通霄鎮國道3號 143公里500.0公尺處北向外側,死亡1;受傷1,營業用-半聯結車;營業用-半聯結車;乘客-人,,
103年06月26日 07時20分00秒,雲林縣土庫鎮158 19公里西向外側,死亡1;受傷0,普通重型-機車;自用-小客車,,
103年06月26日 07時44分00秒,臺南市歸仁區媽廟里和順路一段 / 臺南市歸仁區媽廟里和順路一段,死亡1;受傷1,普通重型-機車;普通重型-機車,,
103年06月26日 08時40分00秒,桃園縣蘆竹鄉宏竹村南青路435號前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年06月26日 09時31分00秒,嘉義市西區世賢路2段 / 嘉義市西區大華路,死亡1;受傷0,自用-小客車,,
103年06月26日 13時55分00秒,宜蘭縣蘇澳鎮台9 110公里700.0公尺處南向內側,死亡1;受傷0,普通重型-機車;營業用-半聯結車,,
103年06月26日 22時11分00秒,新北市深坑區深坑里北深路2段132巷前0.0公尺,死亡1;受傷0,普通重型-機車;民營公車-大客車,,
103年06月27日 05時00分00秒,高雄市六龜區和平路前0.0公尺,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用),,
103年06月27日 08時40分00秒,高雄市小港區中山四路 / 高雄市小港區平和東路口,死亡1;受傷0,普通重型-機車,,
103年06月27日 14時27分00秒,雲林縣北港鎮好收里雲155公路17公里處,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,,
103年06月27日 14時42分00秒,彰化縣彰化市林森路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,,
103年06月27日 14時50分00秒,高雄市楠梓區藍昌路 / 高雄市楠梓區惠民路口,死亡1;受傷1,電動自行車-慢車;普通重型-機車,,
103年06月28日 03時04分00秒,臺北市萬華區,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,,
103年06月28日 06時10分00秒,臺東縣台東市中正路 / 臺東縣台東市精誠路,死亡1;受傷0,動力機械-其他車;行人-人,,
103年06月28日 16時33分00秒,新北市蘆洲區永樂街前0.0公尺,死亡1;受傷0,計程車-小客車;普通重型-機車,,
103年06月29日 16時10分00秒,屏東縣屏東市海豐里海豐街45號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,,
103年06月29日 17時55分00秒,高雄市鳥松區長春路前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車,,
103年06月30日 03時40分00秒,桃園縣八德市瑞泰里介壽路二段450號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車,,
103年06月30日 09時00分00秒,高雄市鳳山區,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,,
103年06月30日 11時54分00秒,花蓮縣富里鄉竹田村無名路前0.0公尺,死亡1;受傷0,自用-大貨車;其他人-人;普通重型-機車;乘客-人,,
103年06月30日 14時04分00秒,臺北市中正區,死亡1;受傷0,普通重型-機車,,
103年06月30日 21時46分00秒,花蓮縣新城鄉嘉里村嘉北一街 / 花蓮縣新城鄉嘉里村嘉里路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),,
103年07月01日 13時50分00秒,臺中市東區干城里復興路五段 / 臺中市東區干城里自由一街,死亡1;受傷0,民營公車-大客車;普通重型-機車,,
103年07月01日 18時55分00秒,臺中市西區公正里林森路 / 臺中市西區公正里柳川西路,死亡1;受傷1,普通重型-機車;普通重型-機車,,
103年07月01日 23時50分00秒,臺東縣台東市正氣北路889號前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年07月02日 07時02分00秒,臺南市仁德區三甲子6之7號對面處,死亡1;受傷1,普通輕型-機車;乘客-人,,
103年07月02日 09時20分00秒,桃園縣蘆竹鄉山外路前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年07月02日 11時40分00秒,高雄市旗津區中洲二路前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年07月02日 13時50分00秒,臺南市安南區北安路四段 / 臺南市安南區台江大道,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),,
103年07月02日 15時04分00秒,屏東縣新埤鄉萬隆村中山路3-16號前0.0公尺,死亡1;受傷0,腳踏自行車-慢車,,
103年07月02日 15時30分00秒,臺南市西港區未命名道路三樂高分33電桿附近路口,死亡1;受傷0,普通輕型-機車;營業用-大貨車,,
103年07月02日 16時30分00秒,雲林縣東勢鄉台78 5公里800.0公尺處東向內側,死亡1;受傷0,普通重型-機車,,
103年07月03日 10時29分00秒,彰化縣秀水鄉中山高速公路前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年07月03日 17時35分00秒,花蓮縣壽豐鄉公園路55號前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人,,
103年07月03日 18時52分00秒,臺中市北屯區后庄里后庄北路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,,
103年07月04日 06時33分00秒,花蓮縣富里鄉石牌村中興路222號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),,
103年07月04日 14時38分00秒,嘉義縣水上鄉(水上交流道) 涵洞南側產業道路路口,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車(含客、貨兩用),,
103年07月04日 15時40分00秒,屏東縣高樹鄉菜寮村長美路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);電動自行車-慢車;自用-小貨車(含客、貨兩用),,
103年07月04日 16時00分00秒,南投縣南投市福興里彰南路三段 / 南投縣南投市福興里順溪南路,死亡1;受傷0,普通重型-機車;自用-小客車,,
103年07月04日 16時22分00秒,臺中市西屯區何源里文心路三段360號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,,
103年07月04日 17時50分00秒,彰化縣彰化市,死亡1;受傷2,普通重型-機車;腳踏自行車-慢車;普通重型-機車,,
103年07月04日 19時00分00秒,苗栗縣通霄鎮產業道路路口(西濱公路橋下),死亡1;受傷0,自用-小客車;普通重型-機車,,
103年07月04日 23時40分00秒,臺南市安南區海佃路二段362-6號前0.0公尺,死亡1;受傷1,租賃車-小客車;普通重型-機車,,
103年07月05日 07時40分00秒,屏東縣長治鄉中興路345號前,死亡1;受傷1,普通重型-機車;普通輕型-機車;乘客-人,,
103年07月05日 08時51分00秒,彰化縣員林鎮員水路1段前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車;自用-小貨車(含客、貨兩用),,
103年07月05日 11時00分00秒,屏東縣長治鄉南二高平面道路與和平路口,死亡1;受傷0,小型輕型-機車;自用-曳引車,,
103年07月05日 15時10分00秒,花蓮縣光復鄉中山路一段前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年07月05日 15時25分00秒,新竹縣新埔鎮文山路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,,
103年07月06日 02時40分00秒,雲林縣斗南鎮96-1號燈桿(興東10K2941GE22電桿),死亡1;受傷0,自用-小客車,,
103年07月06日 17時30分00秒,臺中市南區長春里復興路 / 臺中市南區長春里民意街,死亡1;受傷1,普通重型-機車;計程車-小客車;乘客-人,,
103年07月06日 17時51分00秒,臺南市善化區東勢幹23電線桿處,死亡1;受傷0,普通重型-機車,,
103年07月07日 04時30分00秒,彰化縣大村鄉國道1號 207公里北向中線,死亡2;受傷2,自用-小客車;民營客運-大客車;其他人-人;其他人-人;乘客-人;乘客-人,,
103年07月07日 07時05分00秒,嘉義縣新港鄉中庄村中正路232號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,,
103年07月07日 09時45分00秒,高雄市旗山區旗屏路 / 高雄市旗山區南寮巷口,死亡1;受傷0,普通輕型-機車;自用-小貨車(含客、貨兩用),,
103年07月07日 10時02分00秒,彰化縣埔鹽鄉彰水路1段前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車,,
103年07月07日 13時40分00秒,臺中市大肚區新興里沙田路二段前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),,
103年07月07日 15時26分00秒,南投縣埔里鎮中山路一段前0.0公尺,死亡1;受傷0,普通輕型-機車;計程車-小客車,,
103年07月07日 16時30分00秒,屏東縣新園鄉港漧路2-300號前0.0公尺,死亡1;受傷0,普通輕型-機車;營業用-大貨車,,
103年07月07日 17時57分00秒,臺南市南化區南179線北上16.1公里處,死亡1;受傷0,自用-大貨車,,
103年07月07日 18時18分00秒,嘉義市東區吳鳳南路 / 嘉義市東區興安街,死亡1;受傷3,計程車-小客車;普通輕型-機車;普通重型-機車;普通重型-機車,,
103年07月08日 00時26分00秒,宜蘭縣宜蘭市農權路79號前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年07月08日 11時17分00秒,桃園縣新屋鄉大坡村2鄰產業道路前0.0公尺,死亡1;受傷1,自用-小客車;自用-小客車,,
103年07月08日 16時49分00秒,嘉義縣太保市台18 500.0公尺處西向慢,死亡1;受傷0,普通重型-機車,,
103年07月08日 23時49分00秒,臺中市北區建興里崇德路 / 臺中市北區建興里梅亭街,死亡1;受傷0,救護車-特種車;普通重型-機車,,
103年07月09日 06時30分00秒,臺北市內湖區內湖路2段前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,,
103年07月09日 07時30分00秒,高雄市楠梓區軍校路 / 高雄市楠梓區和光街口,死亡1;受傷1,普通重型-機車;行人-人,,
103年07月09日 12時55分00秒,臺北市內湖區,死亡1;受傷3,遊覽車-大客車;計程車-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);乘客-人,,
103年07月09日 20時00分00秒,新北市土城區四川路20號前0.0公尺,死亡1;受傷0,民營客運-大客車;普通重型-機車,,
103年07月09日 21時40分00秒,高雄市三民區鼎力路 / 高雄市三民區鼎金後路口,死亡1;受傷1,普通重型-機車;普通重型-機車,,
103年07月10日 00時25分00秒,高雄市美濃區中正路三段前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年07月10日 11時25分00秒,桃園縣桃園市桃鶯路370號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小客車,,
103年07月10日 13時30分00秒,苗栗縣銅鑼鄉國道1號 140公里南向出口匝道,死亡1;受傷4,自用-小貨車(含客、貨兩用);乘客-人;乘客-人;乘客-人;乘客-人,,
103年07月10日 19時40分00秒,高雄市旗山區旗南一路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車,,
103年07月11日 02時05分00秒,新竹市東區園區二路 / 新竹市東區工業東三路,死亡1;受傷0,自用-小客車;普通重型-機車,,
103年07月11日 08時00分00秒,臺南市安定區港口1-83號北側路口,死亡1;受傷2,普通重型-機車;自用-小客車;乘客-人,,
103年07月11日 10時03分00秒,新竹縣竹東鎮中正路206號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,,
103年07月11日 16時10分00秒,桃園縣平鎮市中豐路 / 桃園縣平鎮市新富街,死亡1;受傷0,普通重型-機車,,
103年07月11日 16時40分00秒,臺南市楠西區174 55公里900.0公尺處東向外側,死亡1;受傷0,普通重型-機車,,
103年07月11日 18時25分00秒,高雄市路竹區太平路前0.0公尺,死亡1;受傷0,自用-小客車;普通輕型-機車,,
103年07月11日 22時50分00秒,彰化縣員林鎮員林大道路 / 彰化縣員林鎮復興路,死亡1;受傷0,普通重型-機車;自用-小客車,,
103年07月12日 04時49分00秒,新竹縣竹北市博愛街前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年07月12日 08時44分00秒,花蓮縣花蓮市府前路568號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,,
103年07月12日 08時45分00秒,雲林縣東勢鄉同安村同北路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,,
103年07月12日 16時35分00秒,臺東縣台東市更生北路721號,死亡1;受傷0,行人-人;自用-小客車,,
103年07月12日 17時18分00秒,雲林縣莿桐鄉東興路 / 雲林縣莿桐鄉產業道路,死亡1;受傷0,普通重型-機車;自用-小客車,,
103年07月12日 17時53分00秒,臺東縣卑南鄉龍泉路43巷路段,死亡1;受傷2,自用-小客車;乘客-人;乘客-人,,
103年07月12日 18時12分00秒,臺中市南區城隍里忠孝路133號前0.0公尺,死亡1;受傷0,自用-小客車;普通輕型-機車;自用-小客車,,
103年07月12日 23時10分00秒,高雄市鳳山區中山東路 / 高雄市鳳山區埤頂街口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),,
103年07月13日 00時17分00秒,臺北市中山區,死亡1;受傷1,計程車-小客車;乘客-人,,
103年07月13日 02時00分00秒,屏東縣竹田鄉履豐村豐振路2-8號前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年07月13日 05時45分00秒,高雄市阿蓮區中正路前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,,
103年07月13日 08時00分00秒,桃園縣楊梅鎮國道1號 69公里300.0公尺處北向外側,死亡1;受傷2,自用-小客車;自用-小客車;乘客-人,,
103年07月13日 08時05分00秒,雲林縣二崙鄉產業道路 二崙165南15支線電桿附近,死亡1;受傷0,普通重型-機車,,
103年07月13日 19時13分00秒,南投縣草屯鎮碧興路一段87號前0.0公尺,死亡1;受傷1,普通輕型-機車;普通重型-機車,,
103年07月14日 02時04分00秒,新北市金山區臺2線道路前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,,
103年07月14日 10時25分00秒,臺中市北屯區部子里太原路 / 臺中市北屯區部子里建和路,死亡1;受傷0,自用-大貨車;普通重型-機車,,
103年07月14日 16時57分00秒,臺南市安南區安中路六段 / 臺南市安南區安明路,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車,,
103年07月14日 17時13分00秒,新北市新店區北新路2段前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);腳踏自行車-慢車,,
103年07月14日 18時06分00秒,臺南市麻豆區南24 10公里東向外側,死亡1;受傷0,普通重型-機車,,
103年07月14日 21時30分00秒,高雄市前鎮區興旺路前0.0公尺,死亡1;受傷0,行人-人;自用-大貨車,,
103年07月14日 23時02分00秒,桃園縣楊梅市國道1號 67公里南向內側,死亡1;受傷0,行人-人;自用-小客車,,
103年07月15日 05時15分00秒,彰化縣和美鎮東谷路 / 彰化縣和美鎮東谷路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,,
103年07月15日 09時13分00秒,臺中市西區公民里自治街 / 臺中市西區公民里金山路,死亡1;受傷0,普通輕型-機車;自用-小客車,,
103年07月15日 13時13分00秒,新北市鶯歌區中湖街35號前0.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車,,
103年07月15日 15時45分00秒,南投縣竹山鎮大林巷投49-1線4.4公里處,死亡1;受傷0,自用-大貨車;乘客-人;乘客-人,,
103年07月17日 08時30分00秒,宜蘭縣員山鄉深洲一路 / 宜蘭縣員山鄉思源路,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人,,
103年07月17日 13時58分00秒,桃園縣桃園市健行路 / 桃園縣桃園市鹽務路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,,
103年07月17日 14時28分00秒,嘉義縣水上鄉台82 22公里300.0公尺處西向內側,死亡1;受傷0,自用-小貨車(含客、貨兩用);自用-大貨車,,
103年07月17日 18時35分00秒,臺中市大甲區新美里經國路 / 臺中市大甲區新美里永順街,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,,
103年07月17日 20時05分00秒,嘉義市西區世賢路2段前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,,
103年07月17日 22時00分00秒,彰化縣員林鎮,死亡1;受傷0,普通重型-機車,,
103年07月18日 10時15分00秒,臺南市柳營區路口,死亡1;受傷0,普通重型-機車;自用-大貨車,,
103年07月18日 12時22分00秒,花蓮縣吉安鄉南海五街 / 花蓮縣吉安鄉海岸路,死亡1;受傷0,動力機械-其他車;普通重型-機車,,
103年07月18日 12時30分00秒,高雄市鳳山區澄清路前0.0公尺,死亡1;受傷0,自用-小客車;自用-大貨車,,
103年07月18日 19時40分00秒,新竹縣新豐鄉建興路二段前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,,
103年07月18日 19時55分00秒,屏東縣崁頂鄉中興路1-16號前0.0公尺,死亡1;受傷0,普通輕型-機車;自用-小客車,,
103年07月18日 22時28分00秒,基隆市仁愛區南榮路170號前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年07月19日 11時15分00秒,南投縣埔里鎮水頭里水頭路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車,,
103年07月19日 17時50分00秒,高雄市小港區中山四路 / 高雄市小港區金福路口,死亡1;受傷0,普通重型-機車,,
103年07月20日 04時05分00秒,臺南市佳里區176 15公里400.0公尺處東向西,死亡1;受傷1,自用-小客車;乘客-人,,
103年07月20日 06時10分00秒,雲林縣台西鄉158 3公里700.0公尺處西向內側,死亡1;受傷0,普通重型-機車,,
103年07月20日 07時00分00秒,彰化縣二水鄉引水道路前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年07月20日 12時37分00秒,宜蘭縣壯圍鄉壯圍鄉順和路7之2號往西300公尺路口(路燈09375旁),死亡1;受傷3,自用-小客車;普通重型-機車;乘客-人;乘客-人,,
103年07月20日 14時25分00秒,宜蘭縣蘇澳鎮蘇南里中山路一段29號前0.0公尺,死亡1;受傷1,普通輕型-機車;民營公車-大客車;乘客-人,,
103年07月21日 03時30分00秒,嘉義縣太保市國道1號 262公里800.0公尺處北向中線,死亡2;受傷0,自用-大貨車;營業用-大貨車,,
103年07月21日 05時25分00秒,臺南市新化區那拔林246號旁路口,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),,
103年07月21日 09時15分00秒,臺南市後壁區侯伯橋上,死亡1;受傷0,普通輕型-機車;自用-小客車,,
103年07月21日 12時55分00秒,高雄市鼓山區萬壽路前0.0公尺,死亡1;受傷0,自用-大貨車,,
103年07月21日 15時33分00秒,彰化縣鹿港鎮,死亡1;受傷0,普通重型-機車,,
103年07月21日 16時20分00秒,高雄市路竹區路科五路 / 高雄市路竹區路科十路,死亡1;受傷0,營業用-曳引車;普通重型-機車,,
103年07月21日 17時12分00秒,嘉義縣太保市台18 5公里北向慢,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,,
103年07月21日 21時30分00秒,嘉義縣太保市北新里中正路254號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車,,
103年07月22日 01時35分00秒,高雄市大寮區新厝路前0.0公尺,死亡1;受傷0,自用-小客車,,
103年07月22日 03時37分00秒,花蓮縣吉安鄉勝安村自強路52號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小客車,,
103年07月22日 05時28分00秒,雲林縣口湖鄉湖東村中正路一段72號前,死亡1;受傷0,行人-人;自用-小客車,,
103年07月22日 11時00分00秒,嘉義縣中埔鄉田寮29號電桿,死亡1;受傷0,自用-大貨車,,
103年07月22日 12時03分00秒,新竹市東區經國路一段315巷前0.0公尺,死亡1;受傷0,普通重型-機車;普通重型-機車;自用-小客車,,
103年07月22日 17時07分00秒,臺南市新市區中山與中正路口,死亡1;受傷0,自用-小客車;普通重型-機車,,
103年07月22日 17時35分00秒,臺南市永康區二王里中山南路316巷前0.0公尺,死亡1;受傷0,遊覽車-大客車;普通重型-機車,,
103年07月22日 18時19分00秒,彰化縣埤頭鄉東外環路 / 彰化縣埤頭鄉庄子路,死亡1;受傷0,自用-大貨車;行人-人,,
103年07月22日 22時17分00秒,屏東縣竹田鄉台1 402公里900.0公尺處南向外側,死亡1;受傷0,普通重型-機車,,
103年07月23日 03時05分00秒,高雄市燕巢區中興路前0.0公尺,死亡1;受傷0,普通重型-機車,,
103年07月23日 14時00分00秒,臺南市東區東門路三段 / 臺南市東區東門路三段,死亡1;受傷1,普通輕型-機車;普通輕型-機車,,
103年07月23日 15時40分00秒,臺中市大甲區國道3號 164公里600.0公尺處南向外側,死亡1;受傷1,自用-小貨車(含客、貨兩用);營業用-半聯結車;乘客-人,,
