發生時間,發生地點,死亡受傷人數,車種,經度,緯度
102年01月09日 11時37分,臺南市下營區新興里174線和中山路1段413巷口(附近)174線19公里50公尺處東向內側車道,死亡1;受傷0,普通重型-機車;自用-小貨車,,
102年01月09日 19時20分,南投縣南投市八卦路455巷八卦路(口),死亡1;受傷0,行人-人;自用-小客車,,
102年01月09日 20時40分,雲林縣四湖鄉飛沙村台17線96公里0公尺處南向外側車道,死亡1;受傷0,自用-小客車,,
102年01月09日 21時40分,彰化縣溪湖鎮國道一號209公里200公尺處北向外側車道,死亡1;受傷1,自用-小客車;營業用-半聯結車;其他人-人;自用-小客車,,
102年01月09日 22時50分,臺南市安南區本田路三段本田高幹32-1號電桿處(附近),死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車,,
102年01月10日 03時08分,宜蘭縣壯圍鄉國道五號40公里500公尺處南向內側車道,死亡1;受傷0,自用-小客車;自用-半聯結車,,
102年01月10日 17時50分,臺南市善化區文昌里中正路223巷53號前(附近),死亡1;受傷1,營業用-半聯結車;普通重型-機車;普通重型-機車,,
102年01月10日 17時50分,新北市五股區成泰路一段98巷前0.0公尺數1613號路燈前(附近),死亡1;受傷0,自用-大貨車;普通重型-機車,,
102年01月10日 18時50分,桃園縣蘆竹鄉外社村山林路二段654號,死亡1;受傷0,自用-小客車;行人-人,,
102年01月10日 23時24分,臺南市北區林森路三段東豐路(口),死亡1;受傷0,自用-小客車;普通重型-機車,,
102年01月10日 23時30分,臺北市中山區北安路112號忠烈祠前,死亡1;受傷1,自用-小客車;普通重型-機車,,
102年01月11日 01時54分,新竹市北區中華路三段振興路口(附近),死亡1;受傷1,自用-小貨車;腳踏自行車-慢車;腳踏自行車-慢車,,
102年01月11日 06時25分,新竹市北區中華路三段中山路(口),死亡1;受傷2,腳踏自行車-慢車;普通重型-機車;普通重型-機車,,
102年01月11日 09時05分,高雄市杉林區桐竹路242-1號前,死亡1;受傷0,普通重型-機車;自用-小客車,,
102年01月11日 10時27分,彰化縣埤頭鄉彰化縣埤頭鄉合興村彰水路與斗苑西路口,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車,,
102年01月11日 18時40分,雲林縣東勢鄉東北村康南路與信一路口(附近),死亡1;受傷0,自用-小貨車;電動自行車-慢車,,
102年01月12日 00時40分,臺南市南區明興路灣裡高幹24號電桿南側(附近),死亡1;受傷0,普通重型-機車,,
