,發生時間,發生地點,死亡受傷人數,車種
16,102年01月04日 00時39分,彰化縣埤頭鄉彰化縣埤頭鄉溪林路45號前,死亡1;受傷0,自用-小客車;行人-人
17,102年01月04日 00時48分,臺南市北區和緯路五段333號,死亡1;受傷0,自用-小客車;普通重型-機車
18,102年01月04日 03時40分,宜蘭縣三星鄉三星鄉上將路二段503號前(附近)196線9公里20公尺處東向外側車道,死亡1;受傷0,自用-小貨車
19,102年01月04日 16時14分,彰化縣福興鄉彰化縣福興鄉廈粘村沿海路3段與管厝街口,死亡1;受傷0,營業用-曳引車;腳踏自行車-慢車
20,102年01月04日 18時40分,彰化縣秀水鄉彰化縣秀水鄉金興村番花路金興高幹96號前,死亡1;受傷0,普通重型-機車;營業用-大貨車
21,102年01月04日 22時10分,彰化縣二林鎮彰化縣二林鎮西庄里二溪路6段（萬興幹121電桿前）,死亡1;受傷0,自用-小貨車;腳踏自行車-慢車
22,102年01月04日 22時52分,臺中市南屯區中台路中台幹78號電桿旁(附近),死亡2;受傷0,普通重型-機車;普通重型-機車
23,102年01月05日 00時15分,苗栗縣銅鑼鄉國道一號143公里580公尺處南向內側車道,死亡1;受傷0,自用-小客車
24,102年01月05日 03時40分,臺北市大安區建國南路信義路(口)建國南路 信義路,死亡1;受傷0,自用-小貨車;行人-人
25,102年01月05日 09時20分,桃園縣龍潭鄉九龍村健行路289巷旁(中興派出所)(附近),死亡1;受傷0,普通重型-機車
26,102年01月05日 10時58分,臺東縣台東市四川路2段195號前(附近),死亡1;受傷0,自用-小客車;普通重型-機車
27,102年01月05日 12時15分,臺南市後壁區頂安里95-30號172線25公里100公尺處東向內側車道,死亡1;受傷2,普通重型-機車;普通重型-機車;普通重型-機車
28,102年01月05日 18時15分,嘉義縣民雄鄉文隆村建國路二段261號台1線259公里400公尺處南向中線車道,死亡1;受傷1,行人-人;自用-小貨車;自用-小貨車
29,102年01月05日 19時15分,屏東縣潮州鎮光春里里光春路616號,死亡1;受傷0,普通重型-機車;自用-小客車
30,102年01月05日 21時01分,花蓮縣吉安鄉南華村吉安路五段218號南華所轄區(附近)台9丙07公里200公尺處南向內側車道,死亡1;受傷1,自用-小貨車;自用-小貨車;普通重型-機車;自用-小客車
31,102年01月06日 05時18分,臺南市鹽水區汫水里(岸內里路燈262)前(附近),死亡1;受傷0,普通重型-機車;自用-小客車
32,102年01月06日 06時16分,新北市中和區中和路前0.0公尺數中山路(口),死亡1;受傷0,計程車-小客車;行人-人
33,102年01月06日 14時40分,高雄市大寮區民族路民順街口,死亡1;受傷0,自用-小客車;普通重型-機車
34,102年01月06日 20時00分,彰化縣二林鎮彰化縣二林鎮西斗里斗苑路2段（西斗幹41-1號）,死亡2;受傷0,自用-小客車;自用-小客車
35,102年01月07日 06時04分,臺北市文山區新光路2段127號燈桿前,死亡1;受傷1,普通重型-機車;普通重型-機車;行人-人
36,102年01月07日 06時15分,基隆市仁愛區愛三路130號,死亡1;受傷1,普通重型-機車;行人-人;行人-人
37,102年01月07日 08時13分,臺南市新營區五興里1-6號路口(附近)臺19甲線5公里200公尺處北向外側車道,死亡1;受傷1,自用-小客車;普通重型-機車;普通重型-機車
38,102年01月07日 09時05分,南投縣埔里鎮中山路二段和平東路(口),死亡1;受傷1,自用-大貨車;普通重型-機車;普通重型-機車
39,102年01月07日 10時40分,臺中市北屯區太原路&#24269;子路口(附近),死亡1;受傷0,營業用-半聯結車;普通重型-機車
40,102年01月07日 15時04分,嘉義縣義竹鄉東光村台19線96公里100公尺處南向外側車道,死亡1;受傷0,自用-大貨車;普通重型-機車
41,102年01月07日 15時20分,臺南市安南區城安路安中路(口),死亡1;受傷0,民營公車-大客車;腳踏自行車-慢車
42,102年01月07日 17時58分,臺中市龍井區中央南路366號旁(附近),死亡1;受傷0,自用-小客車
43,102年01月07日 21時25分,高雄市甲仙區南部橫貫公路新榮巷口以東30公尺處,死亡1;受傷0,普通輕型-機車
44,102年01月08日 15時25分,高雄市大寮區上寮路農場路口,死亡1;受傷1,普通重型-機車;普通重型-機車
45,102年01月09日 11時37分,臺南市下營區新興里174線和中山路1段413巷口(附近)174線19公里50公尺處東向內側車道,死亡1;受傷0,普通重型-機車;自用-小貨車
46,102年01月09日 19時20分,南投縣南投市八卦路455巷八卦路(口),死亡1;受傷0,行人-人;自用-小客車
47,102年01月09日 20時40分,雲林縣四湖鄉飛沙村台17線96公里0公尺處南向外側車道,死亡1;受傷0,自用-小客車
48,102年01月09日 21時40分,彰化縣溪湖鎮國道一號209公里200公尺處北向外側車道,死亡1;受傷1,自用-小客車;營業用-半聯結車;其他人-人;自用-小客車
49,102年01月09日 22時50分,臺南市安南區本田路三段本田高幹32-1號電桿處(附近),死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車
50,102年01月10日 03時08分,宜蘭縣壯圍鄉國道五號40公里500公尺處南向內側車道,死亡1;受傷0,自用-小客車;自用-半聯結車
51,102年01月10日 17時50分,臺南市善化區文昌里中正路223巷53號前(附近),死亡1;受傷1,營業用-半聯結車;普通重型-機車;普通重型-機車
52,102年01月10日 17時50分,新北市五股區成泰路一段98巷前0.0公尺數1613號路燈前(附近),死亡1;受傷0,自用-大貨車;普通重型-機車
53,102年01月10日 18時50分,桃園縣蘆竹鄉外社村山林路二段654號,死亡1;受傷0,自用-小客車;行人-人
54,102年01月10日 23時24分,臺南市北區林森路三段東豐路(口),死亡1;受傷0,自用-小客車;普通重型-機車
55,102年01月10日 23時30分,臺北市中山區北安路112號忠烈祠前,死亡1;受傷1,自用-小客車;普通重型-機車
56,102年01月11日 01時54分,新竹市北區中華路三段振興路口(附近),死亡1;受傷1,自用-小貨車;腳踏自行車-慢車;腳踏自行車-慢車
57,102年01月11日 06時25分,新竹市北區中華路三段中山路(口),死亡1;受傷2,腳踏自行車-慢車;普通重型-機車;普通重型-機車
58,102年01月11日 09時05分,高雄市杉林區桐竹路242-1號前,死亡1;受傷0,普通重型-機車;自用-小客車
59,102年01月11日 10時27分,彰化縣埤頭鄉彰化縣埤頭鄉合興村彰水路與斗苑西路口,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車
60,102年01月11日 18時40分,雲林縣東勢鄉東北村康南路與信一路口(附近),死亡1;受傷0,自用-小貨車;電動自行車-慢車
61,102年01月12日 00時40分,臺南市南區明興路灣裡高幹24號電桿南側(附近),死亡1;受傷0,普通重型-機車
62,102年01月12日 00時58分,臺中市南屯區永春南路培德路(口),死亡1;受傷0,普通重型-機車
63,102年01月12日 01時30分,新竹市東區經國大橋往竹北(附近),死亡1;受傷0,普通重型-機車;動力機械-其他車
64,102年01月12日 05時10分,臺北市中正區忠孝西路公園路(口)忠孝西路 公園路,死亡1;受傷0,計程車-小客車;行人-人
65,102年01月12日 05時30分,新竹縣竹北市中華路456號,死亡1;受傷0,自用-小客車;行人-人
66,102年01月12日 06時14分,臺中市梧棲區臺灣大道路八段446號,死亡1;受傷4,自用-小客車;自用-小客車;自用-小客車;自用-小客車;自用-小客車
67,102年01月12日 06時45分,新北市三芝區淡金公路前0.0公尺數16公里處(臺2(附近),死亡1;受傷0,普通重型-機車
68,102年01月12日 13時05分,桃園縣龜山鄉民生北路與春日路口(國門大橋前)(附近)台4線10公里900公尺處西向內側車道,死亡1;受傷0,營業用-大貨車;普通重型-機車
69,102年01月12日 14時00分,高雄市鼓山區九如四路916號前,死亡2;受傷2,自用-小貨車;普通輕型-機車;普通輕型-機車;普通輕型-機車;普通輕型-機車
70,102年01月12日 14時28分,臺南市麻豆區南勢里171甲線3公里000公尺處西向內側車道,死亡1;受傷0,普通重型-機車;營業用-曳引車
71,102年01月12日 16時33分,臺中市梧棲區文化路一段一巷梧南路(口),死亡1;受傷0,普通重型-機車;自用-小客車
72,102年01月12日 22時24分,苗栗縣頭份鎮頭份里中正路231巷,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車
73,102年01月13日 01時50分,臺南市永康區龍潭里中山北路316號前旁公尺數,死亡1;受傷1,普通重型-機車;自用-小貨車;自用-小貨車;普通重型-機車
74,102年01月13日 02時30分,彰化縣彰化市彰化縣彰化市金馬東路與彰興路口,死亡1;受傷0,自用-小客車
75,102年01月13日 11時30分,臺北市大同區延平北路南京西路(口)延平北路 南京西路,死亡1;受傷0,計程車-小客車;普通重型-機車
76,102年01月13日 18時00分,宜蘭縣南澳鄉台9線124公里500公尺處北向外側車道,死亡1;受傷0,自用-小貨車
77,102年01月13日 19時12分,宜蘭縣五結鄉光榮北路五結路(口)196線16公里100公尺處東向中內車道,死亡1;受傷2,自用-小客車;民營公車-大客車;自用-小客車;自用-小客車
78,102年01月13日 19時30分,桃園縣大園鄉溪海村14鄰三界壇2之13號前(附近),死亡1;受傷0,自用-小客車;行人-人
79,102年01月14日 16時36分,彰化縣埔心鄉彰化縣埔心鄉舊館村員鹿路5段8-1號前,死亡1;受傷0,自用-大貨車;普通重型-機車
80,102年01月14日 22時00分,屏東縣屏東市崇蘭里廣東路1532號,死亡1;受傷0,行人-人;自用-小客車
81,102年01月15日 09時54分,宜蘭縣冬山鄉三中路三城路(口),死亡1;受傷0,自用-小貨車;普通重型-機車
82,102年01月15日 23時50分,臺南市新營區土庫里臺1線288公里100公尺處南向外側車道,死亡1;受傷0,自用-小客車;自用-大貨車
83,102年01月16日 07時15分,宜蘭縣宜蘭市七張路9號,死亡1;受傷0,普通重型-機車;自用-小客車
84,102年01月16日 07時40分,臺中市豐原區豐原大道一段770巷豐原大道(口),死亡1;受傷0,普通重型-機車;營業用-大貨車
85,102年01月16日 12時21分,臺中市神岡區三民南路神岡路(口),死亡1;受傷1,救護車-特種車;普通重型-機車;普通重型-機車
86,102年01月16日 17時59分,臺南市下營區開化里中營275號前(附近),死亡1;受傷0,自用-小貨車;腳踏自行車-慢車
87,102年01月16日 18時20分,花蓮縣瑞穗鄉特一號道路近七賢路口(附近)台9線270公里0公尺處南向外側車道,死亡1;受傷0,營業用-曳引車;普通重型-機車
88,102年01月17日 04時23分,苗栗縣苗栗市經國路南下車道靠近經國路與中正路口200公尺處(附近),死亡1;受傷0,普通輕型-機車
89,102年01月17日 05時13分,新北市五股區成泰路三段17號前0.0公尺數,死亡1;受傷0,普通重型-機車;自用-小客車;普通輕型-機車;自用-小客車
90,102年01月17日 06時13分,桃園縣平鎮市平安里中豐路南勢二段96-1號,死亡1;受傷0,行人-人;自用-小客車
91,102年01月17日 10時25分,臺南市柳營區神農里165線27公里600公尺處北向內側車道,死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車
92,102年01月17日 15時50分,高雄市燕巢區滾水路海峰路口以南20公公尺處,死亡1;受傷0,普通重型-機車;自用-小客車
93,102年01月17日 21時14分,桃園縣中壢市三光路中壢高中旁第012號停車格(附近),死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車
94,102年01月17日 23時35分,臺南市北區長榮路五段401巷和緯路(口),死亡1;受傷2,自用-小客車;自用-小客車;自用-小客車
95,102年01月18日 13時10分,臺南市佳里區興化里臺19線121公里300公尺處南向路口車道,死亡1;受傷2,自用-小客車;普通重型-機車;普通重型-機車;行人-人
