,發生時間,發生地點,死亡受傷人數,車種
2158,103年02月21日 06時30分00秒,雲林縣斗六市永興路 / 雲林縣斗六市龍潭路,死亡1;受傷0,自用-小客車
2159,103年02月22日 10時22分00秒,臺北市北投區,死亡1;受傷0,自用-小客車;普通重型-機車
2160,103年02月22日 12時22分00秒,新竹縣芎林鄉五和街與61-1號前產業道路,死亡1;受傷0,普通重型-機車;自用-小客車
2161,103年02月22日 20時43分00秒,桃園縣蘆竹鄉赤塗路44-9號前0.0公尺,死亡1;受傷0,普通重型-機車
2162,103年02月23日 01時00分00秒,南投縣埔里鎮廣成里中正路前0.0公尺,死亡1;受傷0,普通重型-機車
2163,103年02月23日 01時47分00秒,新竹市東區東大路三段339號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車
2164,103年02月23日 14時12分00秒,彰化縣鹿港鎮,死亡1;受傷0,自用-小客車
2165,103年02月23日 16時05分00秒,苗栗縣竹南鎮崎頂里保興街122巷前0.0公尺,死亡1;受傷4,普通重型-機車;普通重型-機車;乘客-人;乘客-人;乘客-人
2166,103年02月23日 16時44分00秒,新竹縣關西鎮台3線56.2K北上車道,死亡1;受傷0,自用-小客車;大型重型1(550C.C.以上)-機車
2167,103年02月24日 06時40分00秒,新北市淡水區臺2線道路前0.0公尺,死亡1;受傷3,自用-小貨車(含客、貨兩用);普通重型-機車;自用-大貨車;乘客-人;乘客-人
2168,103年02月24日 10時24分00秒,臺中市和平區南勢里東關路三段前0.0公尺,死亡1;受傷0,自用-小客車
2169,103年02月24日 18時48分00秒,新北市五股區凌雲路2段40-號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車
2170,103年02月25日 12時40分00秒,高雄市美濃區,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人
2171,103年02月25日 19時17分00秒,屏東縣竹田鄉美崙村龍崗路32號前0.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車;普通重型-機車
2172,103年02月25日 22時30分00秒,高雄市岡山區,死亡1;受傷2,普通重型-機車;腳踏自行車-慢車;乘客-人
2173,103年02月25日 23時10分00秒,彰化縣彰化市,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車;自用-小客車
2174,103年02月26日 05時31分00秒,新北市新莊區新北大道2段前0.0公尺,死亡1;受傷1,營業用-小貨車(含客、貨兩用);普通重型-機車;乘客-人
2175,103年02月26日 09時30分00秒,高雄市林園區,死亡1;受傷0,自用-大貨車;普通重型-機車
2176,103年02月26日 14時40分00秒,屏東縣長治鄉二高平面道路、復華街562巷口,死亡1;受傷0,自用-小客車;普通重型-機車
2177,103年02月27日 00時14分00秒,臺中市南區長榮里國光路 / 臺中市南區長榮里復興路,死亡1;受傷0,自用-小客車
2178,103年02月27日 07時01分00秒,臺北市內湖區,死亡1;受傷0,自用-小客車;行人-人
2179,103年02月27日 07時20分00秒,臺中市龍井區南寮里向上路六段前0.0公尺,死亡1;受傷0,普通重型-機車;拖車(架)-其他車
2180,103年02月27日 07時27分00秒,臺南市玉井區臺84 38公里900.0公尺處西向內側,死亡1;受傷0,自用-小貨車(含客、貨兩用);營業用-曳引車
2181,103年02月27日 22時30分00秒,嘉義縣太保市溪南段產業道路,死亡1;受傷0,普通重型-機車
2182,103年02月27日 23時02分00秒,花蓮縣秀林鄉和平村和中16-1號前,死亡1;受傷1,普通重型-機車;行人-人;普通重型-機車
2183,103年02月28日 00時45分00秒,嘉義縣六腳鄉六嘉國中側門前,死亡1;受傷0,自用-小客車
2184,103年02月28日 01時40分00秒,臺南市南區鯤鯓路前0.0公尺,死亡1;受傷0,普通重型-機車
2185,103年02月28日 12時20分00秒,屏東縣萬巒鄉萬和村褒忠路 / 屏東縣萬巒鄉萬和村五福路,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小貨車(含客、貨兩用)
2186,103年02月28日 16時52分00秒,雲林縣麥寮鄉海豐村131號前,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
2187,103年02月28日 18時20分00秒,屏東縣竹田鄉竹南村潮州路前0.0公尺,死亡1;受傷0,普通輕型-機車
2188,103年03月01日 06時15分00秒,基隆市暖暖區八堵路前0.0公尺,死亡1;受傷0,普通重型-機車
2189,103年03月01日 06時47分00秒,彰化縣溪湖鎮,死亡1;受傷0,普通重型-機車
2190,103年03月01日 07時38分00秒,彰化縣二林鎮,死亡1;受傷0,普通重型-機車
2191,103年03月01日 11時50分00秒,南投縣仁愛鄉中正路 / 南投縣仁愛鄉中正路,死亡1;受傷1,普通重型-機車;自用-小客車;自用-小貨車(含客、貨兩用);普通重型-機車
2192,103年03月01日 12時15分00秒,新竹縣關西鎮台3 56公里100.0公尺處北向外側,死亡1;受傷0,自用-小客車;自用-小貨車(含客、貨兩用)
2193,103年03月01日 12時43分00秒,彰化縣溪州鄉,死亡1;受傷3,自用-小客車;普通輕型-機車;乘客-人;乘客-人
2194,103年03月02日 04時30分00秒,高雄市楠梓區左楠路 / 高雄市楠梓區世運大道口,死亡1;受傷1,自用-小客車;普通重型-機車;普通輕型-機車;自用-小貨車(含客、貨兩用)
2195,103年03月02日 11時44分00秒,南投縣水里鄉中正路 / 南投縣水里鄉民族路,死亡1;受傷0,普通輕型-機車;自用-小客車
2196,103年03月02日 12時38分00秒,宜蘭縣蘇澳鎮蘇濱路二段前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車
2197,103年03月02日 18時50分00秒,高雄市六龜區三民路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用)
2198,103年03月03日 08時41分00秒,彰化縣秀水鄉,死亡1;受傷0,腳踏自行車-慢車;自用-小貨車(含客、貨兩用)
2199,103年03月03日 12時45分00秒,高雄市前鎮區成功二路前0.0公尺,死亡1;受傷1,普通重型-機車;營業用-半聯結車;乘客-人
2200,103年03月03日 18時30分00秒,臺中市大肚區頂街里榮華街前0.0公尺,死亡1;受傷0,營業用-半聯結車;普通重型-機車
2201,103年03月03日 23時31分00秒,新北市鶯歌區八德路前0.0公尺,死亡1;受傷0,自用-小客車
2202,103年03月04日 01時20分00秒,高雄市湖內區中山路二段前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人
2203,103年03月04日 05時28分00秒,屏東縣萬丹鄉丹榮路660號附近,死亡1;受傷0,營業用-大貨車;普通重型-機車
2204,103年03月04日 05時53分00秒,屏東縣林邊鄉勝利路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
2205,103年03月04日 06時40分00秒,宜蘭縣壯圍鄉永美路一段前0.0公尺,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人
2206,103年03月04日 13時03分00秒,臺中市東區東勢里進德路 / 臺中市東區東勢里福仁街,死亡1;受傷0,腳踏自行車-慢車;營業用-大貨車;自用-小貨車(含客、貨兩用)
2207,103年03月04日 13時19分00秒,臺南市後壁區國道1號 284公里800.0公尺處北向內側,死亡1;受傷0,自用-小貨車(含客、貨兩用);乘客-人
2208,103年03月04日 17時58分00秒,桃園縣楊梅市雙榮里民族街五段 / 桃園縣楊梅市雙榮里民族街五段,死亡1;受傷2,普通重型-機車;行人-人;行人-人
2209,103年03月05日 00時07分00秒,彰化縣埔鹽鄉,死亡1;受傷0,普通重型-機車;營業用-大貨車
2210,103年03月05日 19時05分00秒,臺中市大里區仁化里仁化路 / 臺中市大里區仁化里工業路,死亡1;受傷0,營業用-大貨車;普通重型-機車
2211,103年03月06日 07時00分00秒,高雄市鼓山區翠華路 / 高雄市鼓山區吳鳳路口,死亡1;受傷0,自用-小客車;普通重型-機車
2212,103年03月06日 10時03分00秒,臺南市仁德區保安里文賢路一段864巷前0.0公尺,死亡1;受傷0,普通重型-機車
2213,103年03月06日 15時10分00秒,臺東縣卑南鄉初鹿三街與忠孝路口,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
2214,103年03月06日 18時15分00秒,臺中市梧棲區永安里臨港路三段 / 臺中市梧棲區永安里向上路九段,死亡1;受傷0,腳踏自行車-慢車;自用-小客車
2215,103年03月06日 20時20分00秒,新北市樹林區佳園路2段102號前0.0公尺,死亡1;受傷1,行人-人;普通重型-機車
2216,103年03月07日 07時45分00秒,臺中市梧棲區草湳里港埠路一段1001號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;營業用-半聯結車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);其他人-人
2217,103年03月07日 17時10分00秒,臺東縣卑南鄉台9 367公里50.0公尺處北向中內,死亡1;受傷0,普通重型-機車;自用-小客車
2218,103年03月07日 18時55分00秒,新竹縣寶山鄉寶山路一段290巷前0.0公尺,死亡1;受傷1,自用-小客車;自用-小客車
2219,103年03月08日 18時29分00秒,臺北市中正區中華路1段 / 臺北市中正區貴陽街1段,死亡1;受傷1,普通重型-機車;行人-人
2220,103年03月08日 20時14分00秒,南投縣竹山鎮水尾巷11-20號宅水田旁,死亡1;受傷1,自用-小貨車(含客、貨兩用);乘客-人
2221,103年03月08日 21時55分00秒,屏東縣恆春鎮墾丁里墾丁路前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人
2222,103年03月09日 05時40分00秒,桃園縣龜山鄉萬壽路一段前0.0公尺,死亡1;受傷0,普通重型-機車
2223,103年03月09日 09時20分00秒,桃園縣八德市大湳里和強路前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小客車;乘客-人
2224,103年03月09日 09時49分00秒,臺南市六甲區174 347公里200.0公尺處東向外側,死亡1;受傷0,自用-小客車;大型重型1(550C.C.以上)-機車
2225,103年03月09日 19時10分00秒,雲林縣西螺鎮河南里西崙路前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
2226,103年03月09日 21時20分00秒,新竹市東區寶山路346號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車
2227,103年03月09日 21時46分00秒,桃園縣桃園市中德里國際路一段950巷55號前0.0公尺,死亡1;受傷1,自用-小客車;行人-人;行人-人
2228,103年03月09日 23時20分00秒,南投縣埔里鎮台14 62公里600.0公尺處東向外側,死亡1;受傷0,普通重型-機車
2229,103年03月11日 08時04分00秒,桃園縣平鎮市平鎮里快速路 / 桃園縣平鎮市平鎮里平德街,死亡1;受傷0,普通重型-機車;自用-小客車
2230,103年03月11日 12時49分00秒,桃園縣桃園市雲林里昆明路95號前0.0公尺,死亡1;受傷1,自用-小客車;乘客-人
2231,103年03月11日 23時35分00秒,新竹縣尖石鄉新竹縣尖石鄉嘉樂村尖石大橋靠竹60線橋墩,死亡2;受傷0,自用-小客車;乘客-人
2232,103年03月12日 01時20分00秒,高雄市三民區中華三路前0.0公尺,死亡1;受傷1,自用-小客車;計程車-小客車
2233,103年03月12日 05時55分00秒,臺南市佳里區新生路445號前,死亡1;受傷0,行人-人;普通重型-機車
2234,103年03月12日 10時00分00秒,彰化縣彰化市,死亡1;受傷1,普通重型-機車;乘客-人
2235,103年03月12日 10時18分00秒,臺南市新營區護鎮里建國路295號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
2236,103年03月12日 22時25分00秒,雲林縣麥寮鄉154 2公里600.0公尺處西向外側,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車
2237,103年03月13日 00時20分00秒,高雄市鳳山區中山東路 / 高雄市鳳山區瑞興路口,死亡1;受傷0,行人-人;計程車-小客車
2238,103年03月13日 15時45分00秒,新竹縣湖口鄉新湖路113號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
2239,103年03月13日 16時00分00秒,彰化縣芳苑鄉,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車
2240,103年03月13日 19時25分00秒,臺北市士林區,死亡1;受傷0,普通重型-機車;行人-人;自用-大貨車
2241,103年03月14日 05時10分00秒,花蓮縣吉安鄉光華村南濱路一段前0.0公尺,死亡1;受傷0,自用-小客車
2242,103年03月14日 08時34分00秒,臺中市沙鹿區晉江里臺灣大道路七段 / 臺中市沙鹿區晉江里東晉東路,死亡1;受傷0,自用-小客車;普通重型-機車
2243,103年03月14日 10時30分00秒,基隆市暖暖區源遠路122號前0.0公尺,死亡1;受傷0,營業用-半聯結車;普通重型-機車
2244,103年03月14日 13時55分00秒,高雄市甲仙區四德巷前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人
2245,103年03月14日 20時20分00秒,雲林縣斗六市鎮南路 / 雲林縣斗六市嘉東中路,死亡1;受傷0,自用-小客車;普通重型-機車
2246,103年03月15日 03時10分00秒,高雄市鳳山區中山東路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車
2247,103年03月15日 08時05分00秒,臺中市豐原區西湳里豐原大道六段 / 臺中市豐原區西湳里三豐路,死亡1;受傷0,普通輕型-機車;自用-大貨車
2248,103年03月15日 08時17分00秒,彰化縣伸港鄉,死亡1;受傷0,普通重型-機車;營業用-半聯結車
2249,103年03月15日 11時40分00秒,雲林縣麥寮鄉三盛村中山1-80號(三盛133南6電桿),死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
2250,103年03月15日 14時51分00秒,彰化縣大村鄉,死亡1;受傷1,自用-小客車;行人-人
2251,103年03月15日 16時05分00秒,臺東縣大武鄉台9 425公里北向中內,死亡1;受傷12,營業用-曳引車;遊覽車-大客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人
2252,103年03月16日 07時55分00秒,高雄市林園區王公一路前0.0公尺,死亡1;受傷0,普通重型-機車
2253,103年03月16日 14時35分00秒,新竹縣竹東鎮中興路一段92之1號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
2254,103年03月16日 16時03分00秒,雲林縣虎尾鎮興中里清雲路117號前0.0公尺,死亡1;受傷0,普通重型-機車
2255,103年03月16日 16時32分00秒,屏東縣屏東市瑞光里民生東路11巷前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用);乘客-人;乘客-人
2256,103年03月16日 20時50分00秒,雲林縣斗六市三光里板橋路8-2號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
2257,103年03月17日 08時56分00秒,新竹市東區西大路 / 新竹市東區食品路,死亡1;受傷0,自用-小客車;普通重型-機車
2258,103年03月17日 09時08分00秒,南投縣南投市中興路 / 南投縣南投市芳美路,死亡1;受傷0,普通重型-機車;自用-小客車
2259,103年03月17日 13時43分00秒,彰化縣彰化市國道1號 198公里500.0公尺處北向匝道,死亡1;受傷5,自用-小貨車(含客、貨兩用);自用-小客車;自用-小客車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);乘客-人;乘客-人;乘客-人;乘客-人;乘客-人
2260,103年03月18日 09時05分00秒,高雄市橋頭區里林東路 / 高雄市橋頭區五林路口,死亡1;受傷0,腳踏自行車-慢車;營業用-半聯結車
2261,103年03月18日 09時34分00秒,新北市板橋區防汛道路前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車
2262,103年03月18日 10時40分00秒,高雄市楠梓區右昌街前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
2263,103年03月19日 07時34分00秒,臺南市新營區長榮路與東仁街口,死亡1;受傷1,營業用-大貨車;普通重型-機車;遊覽車-大客車;自用-小客車
2264,103年03月19日 13時50分00秒,高雄市橋頭區成功南路 / 高雄市橋頭區橋南路53巷口,死亡1;受傷0,普通重型-機車;普通輕型-機車
2265,103年03月19日 18時28分00秒,嘉義縣大林鎮三和里13鄰中興路二段725號前0.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車
2266,103年03月19日 21時12分00秒,嘉義縣六腳鄉台19 74公里800.0公尺處南向內側,死亡1;受傷0,普通重型-機車;遊覽車-大客車
2267,103年03月19日 21時59分00秒,新北市中和區中山路3段前0.0公尺,死亡1;受傷0,遊覽車-大客車;普通重型-機車
2268,103年03月20日 01時00分00秒,新北市永和區福和路前0.0公尺,死亡1;受傷0,普通重型-機車;計程車-小客車
2269,103年03月20日 04時10分00秒,苗栗縣苑裡鎮國道3號 151公里北向外側,死亡1;受傷0,營業用-大貨車;營業用-全聯結車
2270,103年03月20日 09時20分00秒,高雄市鳳山區高速公路西側道路 / 高雄市鳳山區五甲二路口,死亡1;受傷0,普通重型-機車;營業用-全聯結車
2271,103年03月20日 15時00分00秒,屏東縣屏東市龍華里復興南路二段 / 屏東縣屏東市龍華里大湖路,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人
2272,103年03月20日 21時20分00秒,宜蘭縣宜蘭市校舍路47號前0.0公尺,死亡1;受傷1,普通輕型-機車;普通重型-機車
2273,103年03月21日 15時02分00秒,桃園縣中壢市興平里大圳路一段180號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車
2274,103年03月21日 16時17分00秒,新北市八里區關渡橋道路前0.0公尺,死亡1;受傷0,普通重型-機車;自用-大貨車;遊覽車-大客車
2275,103年03月21日 17時50分00秒,南投縣埔里鎮台21線與投75線口小埔社橋上,死亡1;受傷2,自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);自用-小客車;乘客-人;乘客-人
2276,103年03月21日 21時30分00秒,彰化縣彰化市,死亡1;受傷1,自用-小客車;普通重型-機車;乘客-人
2277,103年03月21日 21時30分00秒,臺中市西屯區林厝里福雅路318-3號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
2278,103年03月23日 01時38分00秒,彰化縣福興鄉,死亡1;受傷0,大型重型1(550C.C.以上)-機車
2279,103年03月23日 09時15分00秒,雲林縣麥寮鄉三盛村工業路470-7號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
2280,103年03月23日 14時30分00秒,雲林縣二崙鄉中正路200巷口,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人
2281,103年03月23日 14時50分00秒,臺南市善化區文昌路107巷與中正路223巷,死亡1;受傷0,普通重型-機車;自用-大貨車
2282,103年03月23日 21時13分00秒,臺中市神岡區岸裡里中山路 / 臺中市神岡區岸裡里大洲路,死亡1;受傷0,營業用-大貨車;腳踏自行車-慢車
2283,103年03月24日 07時00分00秒,彰化縣福興鄉,死亡1;受傷0,營業用-曳引車;普通重型-機車
2284,103年03月24日 07時28分00秒,臺南市柳營區八翁里柳營外環道前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人
2285,103年03月24日 10時22分00秒,桃園縣龜山鄉壽山路前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車
2286,103年03月24日 15時35分00秒,臺北市南港區,死亡1;受傷0,其他車-其他車;普通重型-機車
2287,103年03月24日 19時52分00秒,屏東縣麟洛鄉中山路101-1號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
2288,103年03月24日 20時10分00秒,臺中市后里區厚里里三豐路337號前0.0公尺,死亡1;受傷0,自用-小客車;行人-人;自用-小客車
2289,103年03月24日 20時50分00秒,彰化縣二水鄉,死亡1;受傷0,普通重型-機車
2290,103年03月25日 09時48分00秒,臺北市內湖區舊宗路1段 / 臺北市內湖區新湖三路,死亡1;受傷0,自用-小客車;普通重型-機車
2291,103年03月25日 10時41分00秒,新竹市香山區中華路五段477號前0.0公尺,死亡1;受傷0,腳踏自行車-慢車;自用-小客車
2292,103年03月25日 14時57分00秒,桃園縣桃園市南門里三民路三段 / 桃園縣桃園市南門里鎮南街,死亡1;受傷0,自用-小客車;普通重型-機車;自用-小客車
2293,103年03月25日 20時44分00秒,臺中市北區梅川里梅川西路三段2號前0.0公尺,死亡1;受傷0,行人-人;自用-小貨車(含客、貨兩用)
2294,103年03月25日 21時40分00秒,臺南市永康區崑山里大灣路942巷169弄216號前0.0公尺,死亡1;受傷0,自用-小客車;腳踏自行車-慢車
2295,103年03月26日 11時45分00秒,高雄市林園區鳳林路三段前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
2296,103年03月26日 11時47分00秒,花蓮縣瑞穗鄉溫泉路二段 / 花蓮縣瑞穗鄉北五路,死亡1;受傷0,普通重型-機車;自用-小客車
2297,103年03月27日 01時58分00秒,新北市石門區中央路14號前0.0公尺,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人
2298,103年03月27日 10時44分00秒,新竹縣竹北市縣政九路 / 新竹縣竹北市興隆路,死亡1;受傷1,普通重型-機車;乘客-人
2299,103年03月27日 15時48分00秒,新竹縣竹東鎮東寧路一段179號前0.0公尺,死亡1;受傷2,自用-小客車;自用-小貨車(含客、貨兩用);行人-人;其他人-人;行人-人
2300,103年03月28日 05時33分00秒,桃園縣八德市大信里興豐路 / 桃園縣八德市大信里榮興路,死亡1;受傷0,自用-小客車;行人-人
2301,103年03月28日 14時25分00秒,新北市土城區金城路2段前0.0公尺,死亡1;受傷0,民營客運-大客車;腳踏自行車-慢車
2302,103年03月28日 16時11分00秒,桃園縣大溪鎮石園路703巷前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
2303,103年03月28日 21時59分00秒,南投縣草屯鎮新庄里芬草路二段 / 南投縣草屯鎮新庄里墩煌路,死亡1;受傷0,普通重型-機車;自用-小客車
2304,103年03月28日 23時40分00秒,宜蘭縣蘇澳鎮南強里南澳路6號前0.0公尺,死亡1;受傷0,普通重型-機車
2305,103年03月29日 02時50分00秒,新北市三重區三和路3段16巷前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
2306,103年03月29日 04時00分00秒,彰化縣埔鹽鄉,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
2307,103年03月29日 04時35分00秒,新竹縣竹北市中華路1200巷前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人
2308,103年03月29日 08時15分00秒,新竹縣竹東鎮光明路652巷前0.0公尺,死亡1;受傷0,營業用-曳引車;普通重型-機車
2309,103年03月29日 11時15分00秒,高雄市三民區民業路13巷 / 高雄市三民區民業路9巷口,死亡1;受傷0,普通重型-機車;租賃車-小客車
2310,103年03月29日 14時05分00秒,臺東縣太麻里鄉台9 404公里900.0公尺處北向外側,死亡2;受傷7,自用-小客車;營業用-大貨車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人
2311,103年03月29日 20時05分00秒,高雄市左營區翠華路 / 高雄市左營區海功東路口,死亡1;受傷1,普通重型-機車;普通重型-機車
2312,103年03月29日 22時15分00秒,臺東縣關山鎮台9 335公里300.0公尺處北向中外,死亡1;受傷1,普通重型-機車;自用-小貨車(含客、貨兩用);自用-小貨車(含客、貨兩用);乘客-人
2313,103年03月30日 06時50分00秒,高雄市苓雅區青年二路 / 高雄市苓雅區永明街口,死亡1;受傷0,腳踏自行車-慢車;自用-小客車
2314,103年03月30日 07時55分00秒,臺南市永康區王行里中山北路1037號前0.0公尺,死亡1;受傷0,普通重型-機車;自用-小客車
2315,103年03月30日 11時55分00秒,臺南市將軍區將軍交流道加油站西側111公尺路口,死亡1;受傷0,普通重型-機車;自用-小客車
2316,103年03月30日 15時15分00秒,新竹縣竹北市白地街265號前0.0公尺,死亡1;受傷0,普通重型-機車
2317,103年03月30日 18時16分00秒,苗栗縣後龍鎮台61 105公里北向中外,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人
2318,103年03月30日 22時45分00秒,高雄市彌陀區光和路 / 高雄市彌陀區光和路口,死亡1;受傷1,自用-小客車;乘客-人
2319,103年03月31日 06時00分00秒,新北市林口區忠孝路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
2320,103年03月31日 07時10分00秒,高雄市楠梓區高楠公路前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
2321,103年03月31日 16時41分00秒,臺北市士林區,死亡1;受傷0,自用-小客車;普通重型-機車
2322,103年03月31日 18時23分00秒,臺北市大安區,死亡1;受傷0,民營公車-大客車;普通重型-機車;自用-小客車
2323,103年03月31日 18時51分00秒,雲林縣西螺鎮福來路中興286號路燈桿前,死亡1;受傷0,拖車(架)-其他車
2324,103年03月31日 21時15分00秒,宜蘭縣礁溪鄉武暖路070號前0.0公尺,死亡1;受傷0,普通重型-機車
2325,103年04月01日 05時50分00秒,新北市中和區中和路460號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
2326,103年04月01日 08時25分00秒,臺中市沙鹿區三鹿里向上路七段 / 臺中市沙鹿區三鹿里自立路,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車
2327,103年04月01日 14時45分00秒,彰化縣北斗鎮斗中路前0.0公尺,死亡1;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人
2328,103年04月01日 19時25分00秒,雲林縣麥寮鄉後安村豐安路前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
2329,103年04月01日 21時40分00秒,彰化縣溪湖鎮彰水路1段前0.0公尺,死亡1;受傷1,普通重型-機車;自用-小客車
2330,103年04月02日 09時30分00秒,桃園縣龍潭鄉龍園一路(近龍園六路口),死亡1;受傷0,自用-小貨車(含客、貨兩用)
2331,103年04月02日 13時43分00秒,金門縣金沙鎮后水頭73號旁產業道路(后水頭至斗門之產業道路)路口,死亡1;受傷0,自用-小客車;普通輕型-機車
2332,103年04月02日 17時00分00秒,桃園縣新屋鄉永安村中山西路 / 桃園縣新屋鄉永安村台66線路,死亡1;受傷1,普通重型-機車;營業用-大貨車;乘客-人
2333,103年04月03日 00時00分00秒,臺南市永康區鹽行里中正三街129號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車
2334,103年04月03日 02時12分00秒,嘉義市西區友愛路前0.0公尺,死亡1;受傷0,自用-小客車;行人-人
2335,103年04月03日 09時20分00秒,臺東縣長濱鄉台11 83公里400.0公尺處南向外側,死亡1;受傷4,自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人
2336,103年04月03日 10時40分00秒,臺南市後壁區臺1 280公里200.0公尺處北向外側,死亡1;受傷0,普通重型-機車;自用-曳引車
2337,103年04月03日 14時00分00秒,新北市五股區成泰路1段98巷前0.0公尺,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人
2338,103年04月03日 19時15分00秒,彰化縣員林鎮山腳路4段前0.0公尺,死亡1;受傷5,行人-人;普通重型-機車;普通重型-機車;普通重型-機車;其他人-人;其他人-人
2339,103年04月03日 21時18分00秒,桃園縣桃園市西埔里莊敬路二段399-3號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車
2340,103年04月04日 04時50分00秒,基隆市中正區漁港二街前0.0公尺,死亡1;受傷0,腳踏自行車-慢車
2341,103年04月04日 17時45分00秒,屏東縣竹田鄉美崙村美崙路16號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車
2342,103年04月04日 20時08分00秒,新竹縣竹北市博愛街 / 新竹縣竹北市福興路,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用)
2343,103年04月04日 22時00分00秒,臺北市南港區,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人
2344,103年04月05日 03時20分00秒,高雄市前鎮區中華五路前0.0公尺,死亡1;受傷1,普通重型-機車;乘客-人
2345,103年04月05日 14時33分00秒,新北市萬里區臺2線道路前0.0公尺,死亡2;受傷3,自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人
2346,103年04月05日 19時00分00秒,高雄市小港區沿海二路 / 高雄市小港區世全路口,死亡1;受傷1,普通重型-機車;普通輕型-機車
2347,103年04月06日 00時50分00秒,高雄市鳥松區水管路前0.0公尺,死亡1;受傷0,普通重型-機車
2348,103年04月06日 18時05分00秒,苗栗縣南庄鄉,死亡1;受傷0,自用-小客車;普通重型-機車
2349,103年04月06日 19時25分00秒,彰化縣溪州鄉下田路前0.0公尺,死亡1;受傷2,普通重型-機車;行人-人;行人-人
