,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
2008-01,844.0134371606872,674.6347592140663,563.1844678210998,749.5953888526079,1119.7083621629806,875.7733190686007,1213.2586935138575,845.0661389167078,646.6272647062378,485.5434784549007,841.5055492954102,901.4124627300616,638.2896594317981,488.06685608740935,745.514264285369,1005.9543938803729,990.4970547278756,421.97288553714986,704.7378887590463,1093.596330321147,1581.623873733694,415.12520908880015,100.46212577858148
2008-02,677.2985121806217,507.4980870214596,339.7991460170903,600.4360899230421,916.0933579974835,744.7429594256764,1042.0406641725665,757.7336598752887,432.78714924111273,355.2562754503632,711.322504494265,725.396953332796,511.4229274620327,397.63308452517344,678.3627046759777,925.0891897332231,912.1588147181051,552.0436439210254,553.7268895930107,812.5873531404626,1068.4816217501875,292.45823330855563,301.38637733574444
2008-03,786.8121921075077,596.0626748864445,503.1150191613103,759.7883314244124,950.1960904467185,848.8442515123379,1205.0832602979842,829.2521968670765,615.3908033263281,399.89859714143915,816.433365569643,885.0221255531388,561.0867713109578,468.7976974401465,716.9354330425074,818.6532939008187,871.6540437168028,584.6496973896474,605.2601207955579,1076.3429313488,1565.3458756062057,376.56547987804134,0.0
2008-04,774.0842627986268,578.2396923060755,549.6080146987837,677.694479261828,947.3568170648244,855.6015985480959,1145.778120374314,885.0478967097042,610.4724132737587,410.7729675667952,822.1249036096611,800.8702665191215,595.4587996267356,534.712673781619,789.4908741161869,793.3921158266717,915.7242095316975,519.3962019152734,626.074461806892,917.4586395683956,1301.711970631038,362.4589213222501,0.0
2008-05,838.6828364253528,656.8868760460766,533.3556356835068,762.9558442520563,1003.0792467035535,883.8312320521877,1270.1348736445386,902.5466568890779,635.5545664695846,525.1303448534546,837.6076706587556,857.5991352698435,696.1023780511339,522.3367197254001,788.9324053985517,888.8278207401746,919.1712868398016,1059.9407298449025,616.0164271047229,1169.6634106887327,1640.6321366584452,276.8482630780712,301.2653143201446
2008-06,794.6765153845772,587.503211063218,575.2433948713231,748.362571386131,930.1560964793229,829.2773371648227,1092.0554681758554,1164.651840670423,602.7570628709659,473.3402280249567,894.1335244473927,897.2111374309729,583.2576109602792,438.76817201168836,727.3457181326723,954.1697648530278,1042.2870756402622,788.3199066974796,613.6969980202495,1036.3647208525529,1614.3818780155523,420.54671072394115,0.0
2008-07,802.7102677655894,576.1794114686442,601.0577856194262,776.6924503235107,934.2034225086858,822.1803860561625,1179.7665695937576,1233.9360608597217,669.9665016749162,523.2946488210689,814.3291458989881,767.9092778085484,582.0737826795807,488.15851308374107,649.7359319762576,1045.3771101130556,946.2616822429906,862.3570373723982,657.7375370298525,1092.6383491227853,1368.7779915099263,228.01185661654407,0.0
2008-08,814.4727420267892,602.9017330412936,603.5533872482306,795.3320011137724,960.8840744540032,769.7526214857668,1190.2029633993614,1214.0447635647822,721.1418412089613,539.3781791164199,843.3373303612105,807.6300378271371,703.7996903281363,466.51140583941077,669.1544618384482,805.1391125386423,1090.6337078914514,645.8070974200007,639.8824055466755,1103.4735860659803,1412.0274086560564,251.5060421332503,0.0
2008-09,792.5160132002552,507.6111583398813,606.9541234945765,702.2410761345086,1066.3488109809873,840.2463583092513,1177.5600002602343,1051.8462612829487,682.2098812715435,416.10189317432173,836.6179604656107,748.0162533782894,629.5438292279529,477.5340288561784,680.8635562982703,762.5793276376843,1003.3845946823541,526.9723823453497,637.3895812504659,1097.5180731249288,1244.3802183686576,585.9912220906732,101.7087062652563
2008-10,880.9425442199398,625.5940921748715,547.5609704946237,866.3227643320641,1163.466910069999,899.887634208761,1302.325178021781,1095.4209236242164,822.6894974622121,558.7619406355604,871.5453397845973,827.0148148426604,719.3042767540462,712.7193981804693,821.0579337122773,1012.656045987512,912.8358767905627,461.84911496820763,763.543252025832,1041.7981287226962,1645.4689404055662,334.38824864154776,0.0
2008-11,866.8266596814476,567.9788414171738,619.7263669733518,794.7801091327646,1205.7684695739845,926.8523432386228,1231.422551324023,960.8648217194492,769.9577219597115,501.43023606478977,918.5436133038017,982.9736927671555,734.5651567578614,515.8472654626585,764.6987064505781,995.4536640020685,989.1457351137957,761.9579098743305,629.7633888981711,1106.9299249116063,1499.6497168544574,356.68426309031247,101.96798205363515
2008-12,961.6256539308386,622.3703808040733,751.4517200848061,821.4690869286858,1271.306580002378,957.2852181387663,1445.9811906882278,1128.2224854741355,836.5241131552856,542.4725685540786,1035.8471668437508,1039.9565211667823,768.3017491301331,648.7696157133458,883.7775954468501,1065.3485673865316,1060.2372939932577,814.5067947014189,735.2582015995722,1226.0373830392407,1782.368431625352,342.91119782428757,0.0
