,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣,國道,其他
2012-08,299,24,11,22,39,29,43,7,7,11,19,6,27,7,22,5,7,0,2,2,3,1,0,4,1
2012-09,268,19,9,14,24,22,34,11,8,12,22,12,21,15,17,6,4,0,2,7,2,2,0,4,1
2012-10,277,23,14,19,30,27,34,13,7,7,18,11,17,13,21,4,4,0,1,5,0,1,0,7,1
2012-11,277,19,13,19,33,23,32,6,8,9,25,10,16,8,21,9,6,2,2,4,4,0,0,6,2
2012-12,284,17,12,20,36,23,30,8,27,11,14,9,16,10,20,3,8,1,2,2,5,0,0,9,1
2013-01,267,13,10,19,30,33,36,6,8,10,30,6,15,11,10,3,5,0,5,6,2,0,0,8,1
2013-02,254,15,8,18,20,32,34,11,10,6,19,7,10,12,23,6,9,0,1,2,1,0,0,7,3
2013-03,265,32,12,11,22,26,30,15,7,8,19,8,13,8,22,11,6,3,0,6,0,2,0,3,1
2013-04,226,13,11,15,24,19,27,8,6,9,15,6,11,5,21,5,10,0,1,5,2,1,0,11,1
2013-05,229,22,9,10,16,26,31,7,3,5,22,12,16,9,18,8,2,0,1,1,2,1,0,8,0
2013-06,251,12,13,18,24,22,27,7,4,9,25,7,17,5,25,11,8,2,3,1,3,0,0,4,4
2013-07,277,13,12,15,34,30,30,5,12,5,17,7,28,17,23,7,8,0,0,5,0,2,0,7,0
2013-08,237,17,13,15,27,20,30,5,6,2,16,13,17,9,22,3,5,0,1,7,1,0,0,6,2
2013-09,249,18,8,20,23,15,33,3,10,10,23,7,19,11,16,5,6,1,3,8,4,0,0,5,1
2013-10,273,16,11,17,32,31,36,3,3,12,17,8,24,9,20,6,9,1,3,3,4,0,0,5,3
2013-11,260,25,18,15,27,28,28,4,9,8,19,7,13,11,23,7,4,0,4,2,2,0,0,6,0
2013-12,284,27,15,18,29,29,33,5,4,9,25,13,9,10,23,5,10,0,5,2,3,0,0,7,3
2014-01,325,23,10,21,24,31,40,15,11,16,29,7,17,15,19,11,11,0,8,7,1,0,0,5,4
2014-02,200,15,7,13,20,20,14,4,7,6,15,5,14,11,25,2,8,0,1,7,3,0,0,3,0
2014-03,236,19,11,20,26,19,36,6,13,5,20,10,13,4,11,9,3,0,4,3,0,0,0,4,0
2014-04,234,20,10,21,33,26,24,3,3,9,21,7,12,3,16,4,4,0,3,2,2,2,0,7,2
2014-05,223,14,7,20,16,17,35,10,5,10,16,15,11,6,9,5,6,2,3,0,0,0,0,15,1
2014-06,230,17,12,20,16,20,35,4,5,5,17,4,10,9,22,6,8,1,2,6,3,0,0,6,2
2014-07,277,18,11,16,35,32,32,9,11,2,22,11,15,12,13,6,11,1,1,1,3,1,0,11,3
2014-08,265,19,14,16,26,27,30,5,6,8,24,6,15,10,24,3,11,3,3,6,1,0,0,6,2
2014-09,268,16,12,12,30,30,43,4,6,6,26,10,14,13,18,5,8,1,0,8,2,0,0,4,0
2014-10,282,23,12,18,31,23,38,8,8,10,15,17,16,11,22,3,7,2,1,5,2,1,0,8,1
2014-11,249,19,20,24,20,28,20,10,8,6,18,8,17,11,19,2,5,0,4,3,0,0,0,5,2
2014-12,286,16,12,20,25,17,40,8,9,11,34,8,11,11,19,8,14,1,5,7,2,0,0,8,0
2015-01,232,22,12,16,28,17,20,10,6,5,15,12,7,12,15,7,6,1,5,6,2,1,0,5,2
2015-02,219,17,10,17,24,21,30,8,9,7,13,2,12,10,12,3,11,1,2,0,1,1,0,6,2
2015-03,251,23,12,13,30,31,30,5,6,9,18,6,14,13,15,7,4,1,1,3,1,0,0,8,1
2015-04,226,20,7,13,18,22,28,11,4,5,12,8,19,6,31,4,5,0,1,1,1,2,0,8,0
2015-05,213,11,8,15,16,19,33,6,4,5,14,10,17,8,13,4,5,2,3,5,1,2,0,11,1
2015-06,263,14,11,27,16,23,39,3,7,10,20,11,22,8,28,1,6,1,2,2,2,0,0,7,3
